col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 8th Senatorial District,,,,,All
,Mike Stack,Mark Smith,Mark Critz,Brandon P Neuman,Brad Koplinski,Alishea Jackson,Rasheen Crews,Kevin C Hannah,Vernon D Brown,James Tyson,All
Mike Stack,"4,933",0,0,0,0,"6,279","5,843","5,055","3,904","3,471",All
Mark Smith,,261,0,0,0,576,486,456,300,257,All
Mark Critz,,,169,0,0,310,287,229,125,111,All
Brandon P Neuman,,,,147,0,264,223,215,287,259,All
Brad Koplinski,,,,,221,255,217,204,254,201,All
Alishea Jackson,,,,,,230,"5,215","5,071","3,885","3,721",All
Rasheen Crews,,,,,,,176,"5,058","3,755","3,641",All
Kevin C Hannah,,,,,,,,155,"3,653","3,603",All
Vernon D Brown,,,,,,,,,132,"3,686",All
James Tyson,,,,,,,,,,42,All
Total,"14,412","1,130",695,680,664,"8,138","7,459","6,519","5,153","4,466",All
