col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Lieutenant Governor - Democrat,,,,,Member Of - Democratic State Committee 2nd Senatorial District,,,,All
,Mike Stack,Mark Smith,Mark Critz,Brandon P Neuman,Brad Koplinski,James Harrity,Marnie Aument Loughrey,Donna J Derose,Frank T Brzozowski,All
Mike Stack,"4,562",0,0,0,0,"5,155","5,252","3,876","3,193",All
Mark Smith,,271,0,0,0,473,372,259,210,All
Mark Critz,,,233,0,0,372,303,140,107,All
Brandon P Neuman,,,,151,0,163,191,224,174,All
Brad Koplinski,,,,,125,170,166,212,217,All
James Harrity,,,,,,181,"3,258","2,832","2,766",All
Marnie Aument Loughrey,,,,,,,172,"2,995","2,686",All
Donna J Derose,,,,,,,,90,"2,699",All
Frank T Brzozowski,,,,,,,,,59,All
Total,"13,988","1,046",889,581,554,"6,586","6,532","4,853","4,006",All
