col_1,col_2,col_3,col_4,col_5,col_6,division
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,2
,Calvin R Tucker,Denise Furey,Walt Vogler,Robert Guzzardi,Tom Corbett,2
Calvin R Tucker,1,0,0,0,0,2
Denise Furey,,1,0,0,0,2
Walt Vogler,,,0,0,0,2
Robert Guzzardi,,,,0,0,2
Tom Corbett,,,,,0,2
Total,1,1,0,0,0,2
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,7
,Calvin R Tucker,Denise Furey,Walt Vogler,Tom Corbett,Robert Guzzardi,7
Calvin R Tucker,0,1,1,2,0,7
Denise Furey,,0,1,1,0,7
Walt Vogler,,,0,1,0,7
Tom Corbett,,,,0,0,7
Robert Guzzardi,,,,,0,7
Total,2,1,1,2,0,7
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,8
,Calvin R Tucker,Denise Furey,Walt Vogler,Robert Guzzardi,Tom Corbett,8
Calvin R Tucker,0,1,1,0,0,8
Denise Furey,,0,1,0,0,8
Walt Vogler,,,0,0,0,8
Robert Guzzardi,,,,0,0,8
Tom Corbett,,,,,0,8
Total,1,1,1,0,0,8
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,10
,Denise Furey,Calvin R Tucker,Walt Vogler,Tom Corbett,Robert Guzzardi,10
Denise Furey,0,1,1,2,0,10
Calvin R Tucker,,0,1,1,0,10
Walt Vogler,,,0,1,0,10
Tom Corbett,,,,0,0,10
Robert Guzzardi,,,,,0,10
Total,2,1,1,2,0,10
,Governor - Republican,,Member Of - Republican State Committee 2nd Congressional District,,,13
,Tom Corbett,Robert Guzzardi,Walt Vogler,Calvin R Tucker,Denise Furey,13
Tom Corbett,1,0,3,2,2,13
Robert Guzzardi,,0,0,0,0,13
Walt Vogler,,,0,2,2,13
Calvin R Tucker,,,,0,2,13
Denise Furey,,,,,0,13
Total,4,0,3,2,2,13
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,14
,Denise Furey,Calvin R Tucker,Walt Vogler,Tom Corbett,Robert Guzzardi,14
Denise Furey,0,0,0,1,0,14
Calvin R Tucker,,0,0,0,0,14
Walt Vogler,,,0,0,0,14
Tom Corbett,,,,0,0,14
Robert Guzzardi,,,,,0,14
Total,1,0,0,1,0,14
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,16
,Denise Furey,Calvin R Tucker,Walt Vogler,Robert Guzzardi,Tom Corbett,16
Denise Furey,0,1,1,1,1,16
Calvin R Tucker,,0,1,1,0,16
Walt Vogler,,,0,1,0,16
Robert Guzzardi,,,,0,0,16
Tom Corbett,,,,,0,16
Total,2,1,1,1,1,16
,Governor - Republican,,Member Of - Republican State Committee 2nd Congressional District,,,18
,Tom Corbett,Robert Guzzardi,Calvin R Tucker,Denise Furey,Walt Vogler,18
Tom Corbett,1,0,0,0,0,18
Robert Guzzardi,,0,0,0,0,18
Calvin R Tucker,,,0,0,0,18
Denise Furey,,,,0,0,18
Walt Vogler,,,,,0,18
Total,1,0,0,0,0,18
,Governor - Republican,,Member Of - Republican State Committee 2nd Congressional District,,,20
,Tom Corbett,Robert Guzzardi,Walt Vogler,Calvin R Tucker,Denise Furey,20
Tom Corbett,0,0,2,1,1,20
Robert Guzzardi,,0,0,0,0,20
Walt Vogler,,,0,1,1,20
Calvin R Tucker,,,,0,1,20
Denise Furey,,,,,0,20
Total,2,0,2,1,1,20
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,21
,Denise Furey,Calvin R Tucker,Walt Vogler,Tom Corbett,Robert Guzzardi,21
Denise Furey,0,1,1,1,0,21
Calvin R Tucker,,0,1,0,0,21
Walt Vogler,,,0,0,0,21
Tom Corbett,,,,0,0,21
Robert Guzzardi,,,,,0,21
Total,2,1,1,1,0,21
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,22
,Calvin R Tucker,Denise Furey,Walt Vogler,Tom Corbett,Robert Guzzardi,22
Calvin R Tucker,0,1,1,1,0,22
Denise Furey,,0,1,1,0,22
Walt Vogler,,,0,1,0,22
Tom Corbett,,,,0,0,22
Robert Guzzardi,,,,,0,22
Total,1,1,1,1,0,22
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,26
,Calvin R Tucker,Denise Furey,Walt Vogler,Robert Guzzardi,Tom Corbett,26
Calvin R Tucker,0,2,1,1,0,26
Denise Furey,,0,1,1,0,26
Walt Vogler,,,0,1,0,26
Robert Guzzardi,,,,0,0,26
Tom Corbett,,,,,0,26
Total,2,2,1,1,0,26
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,28
,Calvin R Tucker,Denise Furey,Walt Vogler,Tom Corbett,Robert Guzzardi,28
Calvin R Tucker,0,1,1,2,0,28
Denise Furey,,0,1,1,0,28
Walt Vogler,,,0,1,0,28
Tom Corbett,,,,0,0,28
Robert Guzzardi,,,,,0,28
Total,2,1,1,2,0,28
,Member Of - Republican State Committee 2nd Congressional District,,,Governor - Republican,,All
,Denise Furey,Calvin R Tucker,Walt Vogler,Tom Corbett,Robert Guzzardi,All
Denise Furey,1,12,11,11,2,All
Calvin R Tucker,,1,11,9,2,All
Walt Vogler,,,0,9,2,All
Tom Corbett,,,,2,0,All
Robert Guzzardi,,,,,0,All
Total,17,15,13,17,2,All
