col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Representative In Congress 13th District - Democrat,,,,Governor - Democrat,,,,All
,Brendan F Boyle,Marjorie Margolies,Val Arkoosh,Daylin Leach,Tom Wolf,Allyson Y Schwartz,Robert M Mccord,Katie Mcginty,All
Brendan F Boyle,728,0,0,0,"9,443","5,795","2,182",932,All
Marjorie Margolies,,266,0,0,"1,333","2,611",484,249,All
Val Arkoosh,,,63,0,948,530,408,133,All
Daylin Leach,,,,24,436,536,251,99,All
Tom Wolf,,,,,"3,544",0,0,0,All
Allyson Y Schwartz,,,,,,"2,316",0,0,All
Robert M Mccord,,,,,,,933,0,All
Katie Mcginty,,,,,,,,365,All
Total,"19,080","4,943","2,082","1,346","15,704","11,788","4,258","1,778",All
