col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 1st District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Mark F Squilla,Abbe Fletman,Mia Roberts Perez,Tracy B Roman,Kai Scott,Stella Tsai,Betsy Wahl,Chris Mallios,Rainy Papademetriou,Stephanie M Sawyer,Daine Grey Jr,Deborah Watson Stokes,Jennifer Schultz,Anthony Kyriakakis,Lynne M Summers,Scott Diclaudio,Lucretia Clemons,Chris Mccabe,Lyris Younge,Marissa Brumbach,Vincent N Melchiorre,Ken Powell,Frances Fattah,Jodi Lobel,Michael Fanning,James F Berardinelli,Rania Major,Sandjai Weaver,Wayne M D Bennett,Jon Marshall,Leon A King Ii,Leon Goodman,Vincent Furlong,Brian T Ortelere,Starr Marshall Cash,Tangie M Boston,Thomas Martin,Sherman Toppin,Joshua Hill,Vince Giusini,William J Ciancaglini,Edward William Louden Jr,Franklin A Bennett Iii,Shanese Johnson,1
Mark F Squilla,12,34,27,30,23,20,21,18,18,20,20,17,18,15,14,15,13,9,13,11,10,12,8,7,7,8,7,7,7,6,6,6,6,5,4,4,4,4,3,3,2,2,2,2,1
Abbe Fletman,,0,21,15,25,18,17,20,17,18,18,13,10,15,5,6,8,7,6,5,9,6,4,5,7,3,6,4,4,1,2,5,3,3,2,4,1,1,1,1,1,0,2,0,1
Mia Roberts Perez,,,1,15,17,16,18,15,12,20,13,15,12,13,7,4,10,6,7,8,10,6,6,3,6,1,5,5,2,2,2,2,4,1,3,3,1,1,1,1,0,0,0,1,1
Tracy B Roman,,,,0,10,10,11,5,4,10,13,9,15,6,10,12,10,1,11,12,5,6,7,6,3,2,7,5,5,1,4,4,3,2,2,4,2,2,1,2,1,2,1,2,1
Kai Scott,,,,,0,12,11,19,12,15,14,8,5,11,1,5,4,5,5,2,9,5,3,3,6,0,3,1,4,1,3,4,1,1,1,3,0,0,2,1,0,1,1,1,1
Stella Tsai,,,,,,0,17,11,16,15,11,11,11,10,9,3,9,9,1,8,6,2,4,5,2,2,4,2,2,1,3,0,1,2,2,1,1,0,3,0,0,1,1,1,1
Betsy Wahl,,,,,,,0,9,10,16,11,16,12,9,7,1,8,5,2,9,8,5,5,3,2,3,4,4,2,1,2,1,1,0,3,3,1,0,2,1,1,0,0,0,1
Chris Mallios,,,,,,,,0,12,15,11,8,1,11,1,3,2,6,2,1,12,4,0,2,8,1,0,1,1,1,1,1,1,2,2,1,0,0,0,0,1,0,1,0,1
Rainy Papademetriou,,,,,,,,,1,12,12,9,4,12,4,4,3,7,2,1,6,3,4,3,3,3,1,3,2,0,2,2,2,4,2,1,2,0,2,1,0,2,1,1,1
Stephanie M Sawyer,,,,,,,,,,0,13,13,7,10,4,3,7,6,5,7,11,4,2,1,7,1,3,3,2,1,2,0,2,1,2,2,1,1,1,0,1,0,0,1,1
Daine Grey Jr,,,,,,,,,,,0,10,4,9,4,8,1,2,6,2,9,5,3,1,3,2,3,1,4,1,2,2,1,4,2,1,1,1,1,2,0,2,0,1,1
Deborah Watson Stokes,,,,,,,,,,,,0,8,11,6,1,6,3,3,8,7,4,5,4,2,2,3,4,2,0,0,3,2,0,3,3,2,1,0,1,1,0,1,0,1
Jennifer Schultz,,,,,,,,,,,,,0,3,9,2,11,3,3,11,0,3,4,6,0,4,4,5,4,2,3,2,4,2,2,3,2,2,1,2,0,0,1,1,1
Anthony Kyriakakis,,,,,,,,,,,,,,0,4,3,5,5,3,3,7,3,3,5,5,2,1,2,2,1,0,3,1,1,2,1,1,1,0,0,1,0,2,0,1
Lynne M Summers,,,,,,,,,,,,,,,0,4,8,5,3,7,0,3,5,5,1,4,3,2,2,2,1,1,3,2,3,0,5,2,1,1,1,1,1,1,1
Scott Diclaudio,,,,,,,,,,,,,,,,0,1,1,8,1,2,5,3,1,2,2,2,1,4,1,4,3,1,3,2,1,1,1,1,2,0,2,1,1,1
