col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,District Council 6th District - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Bobby Henon,Christine Hope,Sharon Williams Losier,Christian Dicicco,Joffie C Pittman,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,1
Bobby Henon,18,39,36,18,17,13,9,9,6,1
Christine Hope,,1,25,10,12,5,6,6,4,1
Sharon Williams Losier,,,0,9,15,6,6,4,5,1
Christian Dicicco,,,,0,2,2,1,3,3,1
Joffie C Pittman,,,,,0,2,1,0,0,1
Matthew Perks,,,,,,1,3,3,1,1
Gary S Silver,,,,,,,1,2,1,1
Daniel R Sulman,,,,,,,,0,0,1
Franklin A Bennett Iii,,,,,,,,,0,1
Total,79,42,38,18,18,15,11,9,8,1
,District Council 6th District - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Bobby Henon,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Daniel R Sulman,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,2
Bobby Henon,11,20,15,15,11,7,6,5,3,2
Sharon Williams Losier,,0,11,10,6,2,3,3,2,2
Christine Hope,,,2,7,6,0,0,0,1,2
Joffie C Pittman,,,,0,0,4,7,0,0,2
Christian Dicicco,,,,,1,3,0,1,1,2
Daniel R Sulman,,,,,,0,4,1,1,2
Matthew Perks,,,,,,,0,0,0,2
Gary S Silver,,,,,,,,1,1,2
Franklin A Bennett Iii,,,,,,,,,1,2
Total,47,22,18,17,13,8,7,6,4,2
,District Council 6th District - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,3
,Bobby Henon,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Franklin A Bennett Iii,Gary S Silver,Daniel R Sulman,3
Bobby Henon,27,35,32,28,24,16,8,8,6,3
Sharon Williams Losier,,1,20,25,11,6,2,3,1,3
Christine Hope,,,1,14,11,6,2,1,1,3
Joffie C Pittman,,,,0,6,5,1,0,2,3
Christian Dicicco,,,,,1,4,4,2,1,3
Matthew Perks,,,,,,0,4,2,5,3
Franklin A Bennett Iii,,,,,,,0,5,2,3
Gary S Silver,,,,,,,,1,3,3
Daniel R Sulman,,,,,,,,,1,3
Total,94,41,34,33,28,18,11,11,10,3
,District Council 6th District - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,4
,Bobby Henon,Christine Hope,Christian Dicicco,Sharon Williams Losier,Joffie C Pittman,Gary S Silver,Matthew Perks,Franklin A Bennett Iii,Daniel R Sulman,4
Bobby Henon,30,49,40,28,24,19,16,12,9,4
Christine Hope,,3,18,21,16,7,9,6,1,4
Christian Dicicco,,,1,9,7,10,7,9,3,4
Sharon Williams Losier,,,,0,11,4,4,2,1,4
Joffie C Pittman,,,,,1,5,5,2,4,4
Gary S Silver,,,,,,3,6,3,3,4
Matthew Perks,,,,,,,0,2,3,4
Franklin A Bennett Iii,,,,,,,,0,2,4
Daniel R Sulman,,,,,,,,,1,4
Total,117,54,44,30,28,24,19,13,12,4
,District Council 6th District - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,5
,Bobby Henon,Christine Hope,Sharon Williams Losier,Christian Dicicco,Joffie C Pittman,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,5
Bobby Henon,22,26,20,17,12,10,7,5,1,5
Christine Hope,,8,13,10,10,4,2,2,1,5
Sharon Williams Losier,,,0,9,11,4,2,2,0,5
Christian Dicicco,,,,0,2,4,4,3,0,5
Joffie C Pittman,,,,,0,4,1,3,1,5
Matthew Perks,,,,,,0,3,3,0,5
