col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,All
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,All
David Torres,17,58,57,43,8,3,All
Jeff Bartos,,11,0,0,0,4,All
Kathy Coder,,,5,0,0,5,All
Diana Irey Vaughan,,,,5,0,6,All
Peg Luksik,,,,,3,7,All
Total,183,69,62,48,11,8,All
,Lieutenant Governor - Republican,,,,Representative In Congress 2nd District - Republican,1,1
,Peg Luksik,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,David Torres,2,1
Peg Luksik,1,0,0,0,0,3,1
Diana Irey Vaughan,,0,0,0,0,4,1
Jeff Bartos,,,0,0,0,5,1
Kathy Coder,,,,0,0,6,1
David Torres,,,,,0,7,1
Total,1,0,0,0,0,8,1
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,2
,David Torres,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,2
David Torres,0,1,0,1,0,3,2
Diana Irey Vaughan,,0,0,0,0,4,2
Jeff Bartos,,,1,0,0,5,2
Kathy Coder,,,,0,0,6,2
Peg Luksik,,,,,0,7,2
Total,2,1,1,1,0,8,2
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,3
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,3
David Torres,0,3,1,1,1,3,3
Kathy Coder,,0,0,0,0,4,3
Jeff Bartos,,,1,0,0,5,3
Diana Irey Vaughan,,,,0,0,6,3
Peg Luksik,,,,,0,7,3
Total,6,3,2,1,1,8,3
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,4
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,4
David Torres,0,1,1,1,0,3,4
Jeff Bartos,,1,0,0,0,4,4
Diana Irey Vaughan,,,0,0,0,5,4
Kathy Coder,,,,0,0,6,4
Peg Luksik,,,,,0,7,4
Total,3,2,1,1,0,8,4
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,5
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,5
David Torres,2,2,1,0,0,3,5
Diana Irey Vaughan,,0,0,0,0,4,5
Kathy Coder,,,0,0,0,5,5
Jeff Bartos,,,,0,0,6,5
Peg Luksik,,,,,0,7,5
Total,5,2,1,0,0,8,5
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,6
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,6
David Torres,0,4,4,2,0,3,6
Jeff Bartos,,0,0,0,0,4,6
Kathy Coder,,,0,0,0,5,6
Diana Irey Vaughan,,,,0,0,6,6
Peg Luksik,,,,,0,7,6
Total,10,4,4,2,0,8,6
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,7
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,7
David Torres,2,1,1,0,0,3,7
Jeff Bartos,,1,0,0,0,4,7
Kathy Coder,,,0,0,0,5,7
Diana Irey Vaughan,,,,0,0,6,7
Peg Luksik,,,,,0,7,7
Total,4,2,1,0,0,8,7
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,8
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,8
David Torres,1,6,2,1,0,3,8
Jeff Bartos,,0,0,0,0,4,8
Diana Irey Vaughan,,,0,0,0,5,8
Kathy Coder,,,,1,0,6,8
Peg Luksik,,,,,0,7,8
Total,10,6,2,2,0,8,8
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,9
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,9
David Torres,1,1,0,0,0,3,9
Kathy Coder,,0,0,0,0,4,9
Diana Irey Vaughan,,,0,0,0,5,9
Jeff Bartos,,,,0,0,6,9
Peg Luksik,,,,,0,7,9
Total,2,1,0,0,0,8,9
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,10
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,10
David Torres,0,0,1,0,0,3,10
Diana Irey Vaughan,,1,0,0,0,4,10
Kathy Coder,,,0,0,0,5,10
Jeff Bartos,,,,0,0,6,10
Peg Luksik,,,,,0,7,10
Total,1,1,1,0,0,8,10
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,11
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,11
David Torres,0,2,2,1,1,3,11
Jeff Bartos,,0,0,0,0,4,11
Kathy Coder,,,0,0,0,5,11
Diana Irey Vaughan,,,,0,0,6,11
Peg Luksik,,,,,0,7,11
Total,6,2,2,1,1,8,11
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,12
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,12
David Torres,0,5,2,2,0,3,12
Kathy Coder,,0,0,0,0,4,12
Diana Irey Vaughan,,,0,0,0,5,12
Jeff Bartos,,,,0,0,6,12
Peg Luksik,,,,,1,7,12
Total,9,5,2,2,1,8,12
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,13
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,13
David Torres,3,3,1,0,0,3,13
Kathy Coder,,0,0,0,0,4,13
Diana Irey Vaughan,,,0,0,0,5,13
Jeff Bartos,,,,0,0,6,13
Peg Luksik,,,,,0,7,13
Total,7,3,1,0,0,8,13
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,14
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,14
David Torres,0,3,2,1,0,3,14
Jeff Bartos,,1,0,0,0,4,14
Diana Irey Vaughan,,,1,0,0,5,14
Kathy Coder,,,,0,0,6,14
Peg Luksik,,,,,0,7,14
Total,6,4,3,1,0,8,14
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,15
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,15
David Torres,2,7,6,3,1,3,15
Jeff Bartos,,0,0,0,0,4,15
Diana Irey Vaughan,,,0,0,0,5,15
Kathy Coder,,,,0,0,6,15
Peg Luksik,,,,,0,7,15
Total,19,7,6,3,1,8,15
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,16
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,16
David Torres,0,5,2,2,0,3,16
Kathy Coder,,0,0,0,0,4,16
Diana Irey Vaughan,,,1,0,0,5,16
Jeff Bartos,,,,0,0,6,16
Peg Luksik,,,,,0,7,16
Total,9,5,3,2,0,8,16
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,17
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,17
David Torres,0,4,2,1,0,3,17
Kathy Coder,,0,0,0,0,4,17
Diana Irey Vaughan,,,0,0,0,5,17
Jeff Bartos,,,,0,0,6,17
Peg Luksik,,,,,0,7,17
Total,7,4,2,1,0,8,17
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,18
,David Torres,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,18
David Torres,0,4,2,1,1,3,18
Jeff Bartos,,0,0,0,0,4,18
Diana Irey Vaughan,,,0,0,0,5,18
