col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
Tom Wolf,161,977,415,408,126,19,3,All
Mike Stack,,52,0,0,0,0,4,All
Kathi Cozzone,,,21,0,0,0,5,All
Nina Ahmad,,,,15,0,0,6,All
John Fetterman,,,,,8,0,7,All
Ray Sosa,,,,,,3,8,All
Total,"2,106","1,029",436,423,134,22,9,All
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Tom Wolf,3,23,10,6,4,0,3,1
Mike Stack,,1,0,0,0,0,4,1
Kathi Cozzone,,,1,0,0,0,5,1
Nina Ahmad,,,,0,0,0,6,1
John Fetterman,,,,,1,0,7,1
Ray Sosa,,,,,,0,8,1
Total,46,24,11,6,5,0,9,1
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,2
Tom Wolf,13,27,28,27,6,0,3,2
Mike Stack,,2,0,0,0,0,4,2
Kathi Cozzone,,,0,0,0,0,5,2
Nina Ahmad,,,,1,0,0,6,2
John Fetterman,,,,,1,0,7,2
Ray Sosa,,,,,,0,8,2
Total,101,29,28,28,7,0,9,2
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,3
Tom Wolf,8,66,22,19,8,0,3,3
Mike Stack,,2,0,0,0,0,4,3
Nina Ahmad,,,1,0,0,0,5,3
Kathi Cozzone,,,,2,0,0,6,3
John Fetterman,,,,,0,0,7,3
Ray Sosa,,,,,,0,8,3
Total,123,68,23,21,8,0,9,3
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,4
Tom Wolf,3,44,11,10,2,0,3,4
Mike Stack,,2,0,0,0,0,4,4
Nina Ahmad,,,0,0,0,0,5,4
Kathi Cozzone,,,,0,0,0,6,4
John Fetterman,,,,,0,0,7,4
Ray Sosa,,,,,,1,8,4
Total,70,46,11,10,2,1,9,4
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Tom Wolf,9,29,24,14,4,2,3,5
Mike Stack,,5,0,0,0,0,4,5
Kathi Cozzone,,,2,0,0,0,5,5
Nina Ahmad,,,,1,0,0,6,5
John Fetterman,,,,,0,0,7,5
Ray Sosa,,,,,,1,8,5
Total,82,34,26,15,4,3,9,5
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,6
,Tom Wolf,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,6
Tom Wolf,9,60,34,16,16,1,3,6
Mike Stack,,2,0,0,0,0,4,6
Nina Ahmad,,,1,0,0,0,5,6
John Fetterman,,,,3,0,0,6,6
Kathi Cozzone,,,,,0,0,7,6
Ray Sosa,,,,,,0,8,6
Total,136,62,35,19,16,1,9,6
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,7
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,7
Tom Wolf,7,57,22,14,5,1,3,7
Mike Stack,,3,0,0,0,0,4,7
Nina Ahmad,,,0,0,0,0,5,7
Kathi Cozzone,,,,0,0,0,6,7
John Fetterman,,,,,0,0,7,7
Ray Sosa,,,,,,0,8,7
Total,106,60,22,14,5,1,9,7
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,8
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,8
Tom Wolf,6,62,44,21,14,1,3,8
Mike Stack,,2,0,0,0,0,4,8
Nina Ahmad,,,1,0,0,0,5,8
Kathi Cozzone,,,,5,0,0,6,8
John Fetterman,,,,,0,0,7,8
Ray Sosa,,,,,,0,8,8
Total,148,64,45,26,14,1,9,8
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,9
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,9
Tom Wolf,7,57,26,14,3,1,3,9
Mike Stack,,1,0,0,0,0,4,9
Kathi Cozzone,,,0,0,0,0,5,9
Nina Ahmad,,,,0,0,0,6,9
John Fetterman,,,,,0,0,7,9
Ray Sosa,,,,,,0,8,9
Total,108,58,26,14,3,1,9,9
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,10
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,10
Tom Wolf,5,53,19,12,1,0,3,10
Mike Stack,,2,0,0,0,0,4,10
Nina Ahmad,,,1,0,0,0,5,10
Kathi Cozzone,,,,1,0,0,6,10
John Fetterman,,,,,0,0,7,10
Ray Sosa,,,,,,0,8,10
Total,90,55,20,13,1,0,9,10
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,11
,Tom Wolf,Nina Ahmad,Kathi Cozzone,Mike Stack,John Fetterman,Ray Sosa,2,11
Tom Wolf,11,21,20,14,7,0,3,11
Nina Ahmad,,0,0,0,0,0,4,11
Kathi Cozzone,,,0,0,0,0,5,11
Mike Stack,,,,0,0,0,6,11
John Fetterman,,,,,0,0,7,11
Ray Sosa,,,,,,0,8,11
Total,73,21,20,14,7,0,9,11
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,12
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,12
Tom Wolf,7,25,14,12,4,0,3,12
Mike Stack,,2,0,0,0,0,4,12
Nina Ahmad,,,3,0,0,0,5,12
Kathi Cozzone,,,,1,0,0,6,12
John Fetterman,,,,,1,0,7,12
Ray Sosa,,,,,,0,8,12
Total,62,27,17,13,5,0,9,12
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,13
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,13
Tom Wolf,1,12,6,6,1,0,3,13
Mike Stack,,4,0,0,0,0,4,13
Kathi Cozzone,,,1,0,0,0,5,13
Nina Ahmad,,,,0,0,0,6,13
John Fetterman,,,,,1,0,7,13
Ray Sosa,,,,,,1,8,13
Total,26,16,7,6,2,1,9,13
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,14
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,14
Tom Wolf,8,34,17,13,2,0,3,14
Mike Stack,,2,0,0,0,0,4,14
Kathi Cozzone,,,0,0,0,0,5,14
Nina Ahmad,,,,1,0,0,6,14
John Fetterman,,,,,0,0,7,14
Ray Sosa,,,,,,0,8,14
Total,74,36,17,14,2,0,9,14
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,15
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,15
Tom Wolf,4,43,12,9,1,0,3,15
Mike Stack,,2,0,0,0,0,4,15
Kathi Cozzone,,,0,0,0,0,5,15
Nina Ahmad,,,,0,0,0,6,15
John Fetterman,,,,,0,0,7,15
Ray Sosa,,,,,,0,8,15
Total,69,45,12,9,1,0,9,15
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,16
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,16
Tom Wolf,6,46,21,15,4,2,3,16
Mike Stack,,2,0,0,0,0,4,16
Kathi Cozzone,,,0,0,0,0,5,16
Nina Ahmad,,,,1,0,0,6,16
John Fetterman,,,,,1,0,7,16
Ray Sosa,,,,,,0,8,16
Total,94,48,21,16,5,2,9,16
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,17
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,17
Tom Wolf,12,48,19,13,8,1,3,17
Mike Stack,,3,0,0,0,0,4,17
Nina Ahmad,,,0,0,0,0,5,17
Kathi Cozzone,,,,1,0,0,6,17
John Fetterman,,,,,0,0,7,17
Ray Sosa,,,,,,0,8,17
Total,101,51,19,14,8,1,9,17
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,18
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,18
