col_1,col_2,order,division
,United States Senator - Democrat,1,All
,Bob Casey Jr,2,All
Bob Casey Jr,"2,329",3,All
Total,"2,329",4,All
,United States Senator - Democrat,1,1
,Bob Casey Jr,2,1
Bob Casey Jr,42,3,1
Total,42,4,1
,United States Senator - Democrat,1,2
,Bob Casey Jr,2,2
Bob Casey Jr,21,3,2
Total,21,4,2
,United States Senator - Democrat,1,3
,Bob Casey Jr,2,3
Bob Casey Jr,59,3,3
Total,59,4,3
,United States Senator - Democrat,1,4
,Bob Casey Jr,2,4
Bob Casey Jr,67,3,4
Total,67,4,4
,United States Senator - Democrat,1,5
,Bob Casey Jr,2,5
Bob Casey Jr,69,3,5
Total,69,4,5
,United States Senator - Democrat,1,6
,Bob Casey Jr,2,6
Bob Casey Jr,46,3,6
Total,46,4,6
,United States Senator - Democrat,1,7
,Bob Casey Jr,2,7
Bob Casey Jr,54,3,7
Total,54,4,7
,United States Senator - Democrat,1,8
,Bob Casey Jr,2,8
Bob Casey Jr,50,3,8
Total,50,4,8
,United States Senator - Democrat,1,9
,Bob Casey Jr,2,9
Bob Casey Jr,50,3,9
Total,50,4,9
,United States Senator - Democrat,1,10
,Bob Casey Jr,2,10
Bob Casey Jr,54,3,10
Total,54,4,10
,United States Senator - Democrat,1,11
,Bob Casey Jr,2,11
Bob Casey Jr,38,3,11
Total,38,4,11
,United States Senator - Democrat,1,12
,Bob Casey Jr,2,12
Bob Casey Jr,46,3,12
Total,46,4,12
,United States Senator - Democrat,1,13
,Bob Casey Jr,2,13
Bob Casey Jr,49,3,13
Total,49,4,13
,United States Senator - Democrat,1,14
,Bob Casey Jr,2,14
Bob Casey Jr,33,3,14
Total,33,4,14
,United States Senator - Democrat,1,15
,Bob Casey Jr,2,15
Bob Casey Jr,14,3,15
Total,14,4,15
,United States Senator - Democrat,1,16
,Bob Casey Jr,2,16
Bob Casey Jr,63,3,16
Total,63,4,16
,United States Senator - Democrat,1,17
,Bob Casey Jr,2,17
Bob Casey Jr,68,3,17
Total,68,4,17
,United States Senator - Democrat,1,18
,Bob Casey Jr,2,18
Bob Casey Jr,30,3,18
Total,30,4,18
,United States Senator - Democrat,1,19
,Bob Casey Jr,2,19
Bob Casey Jr,76,3,19
Total,76,4,19
,United States Senator - Democrat,1,20
,Bob Casey Jr,2,20
Bob Casey Jr,65,3,20
Total,65,4,20
,United States Senator - Democrat,1,21
,Bob Casey Jr,2,21
Bob Casey Jr,56,3,21
Total,56,4,21
,United States Senator - Democrat,1,22
,Bob Casey Jr,2,22
Bob Casey Jr,45,3,22
Total,45,4,22
,United States Senator - Democrat,1,23
,Bob Casey Jr,2,23
Bob Casey Jr,57,3,23
Total,57,4,23
,United States Senator - Democrat,1,24
,Bob Casey Jr,2,24
Bob Casey Jr,108,3,24
Total,108,4,24
,United States Senator - Democrat,1,25
,Bob Casey Jr,2,25
Bob Casey Jr,73,3,25
Total,73,4,25
,United States Senator - Democrat,1,26
,Bob Casey Jr,2,26
Bob Casey Jr,54,3,26
Total,54,4,26
,United States Senator - Democrat,1,27
,Bob Casey Jr,2,27
Bob Casey Jr,32,3,27
Total,32,4,27
,United States Senator - Democrat,1,28
,Bob Casey Jr,2,28
Bob Casey Jr,45,3,28
Total,45,4,28
,United States Senator - Democrat,1,29
,Bob Casey Jr,2,29
Bob Casey Jr,81,3,29
Total,81,4,29
,United States Senator - Democrat,1,30
,Bob Casey Jr,2,30
Bob Casey Jr,44,3,30
Total,44,4,30
,United States Senator - Democrat,1,31
,Bob Casey Jr,2,31
Bob Casey Jr,44,3,31
Total,44,4,31
,United States Senator - Democrat,1,32
,Bob Casey Jr,2,32
Bob Casey Jr,28,3,32
Total,28,4,32
,United States Senator - Democrat,1,33
,Bob Casey Jr,2,33
Bob Casey Jr,21,3,33
Total,21,4,33
,United States Senator - Democrat,1,34
,Bob Casey Jr,2,34
Bob Casey Jr,81,3,34
Total,81,4,34
,United States Senator - Democrat,1,35
,Bob Casey Jr,2,35
Bob Casey Jr,75,3,35
Total,75,4,35
,United States Senator - Democrat,1,36
,Bob Casey Jr,2,36
Bob Casey Jr,18,3,36
Total,18,4,36
,United States Senator - Democrat,1,37
,Bob Casey Jr,2,37
Bob Casey Jr,59,3,37
Total,59,4,37
,United States Senator - Democrat,1,38
,Bob Casey Jr,2,38
Bob Casey Jr,26,3,38
Total,26,4,38
,United States Senator - Democrat,1,39
,Bob Casey Jr,2,39
Bob Casey Jr,66,3,39
Total,66,4,39
,United States Senator - Democrat,1,40
,Bob Casey Jr,2,40
Bob Casey Jr,43,3,40
Total,43,4,40
,United States Senator - Democrat,1,41
,Bob Casey Jr,2,41
Bob Casey Jr,110,3,41
Total,110,4,41
,United States Senator - Democrat,1,42
,Bob Casey Jr,2,42
Bob Casey Jr,34,3,42
Total,34,4,42
,United States Senator - Democrat,1,43
,Bob Casey Jr,2,43
Bob Casey Jr,38,3,43
Total,38,4,43
,United States Senator - Democrat,1,44
,Bob Casey Jr,2,44
Bob Casey Jr,97,3,44
Total,97,4,44
