V1,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In Lieutenant Governor - Republican,division
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,All
Diana Irey Vaughan,0,195,0,0,0,All
Kathy Coder,194,,0,0,0,All
Jeff Bartos,,,74,0,0,All
Peg Luksik,,,,19,0,All
Write In,,,,,0,All
Total,194,195,74,19,0,All
1,3,2,4,5,6,All
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,1
Diana Irey Vaughan,0,18,0,0,0,1
Kathy Coder,10,,0,0,0,1
Jeff Bartos,,,7,0,0,1
Peg Luksik,,,,2,0,1
Write In,,,,,0,1
Total,10,18,7,2,0,1
1,3,2,4,5,6,1
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,2
Kathy Coder,4,0,0,0,0,2
Jeff Bartos,,0,2,0,0,2
Diana Irey Vaughan,,1,,0,0,2
Peg Luksik,,,,1,0,2
Write In,,,,,0,2
Total,4,1,2,1,0,2
1,2,4,3,5,6,2
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,3
Diana Irey Vaughan,0,28,0,0,0,3
Kathy Coder,24,,0,0,0,3
Jeff Bartos,,,7,0,0,3
Peg Luksik,,,,2,0,3
Write In,,,,,0,3
Total,24,28,7,2,0,3
1,3,2,4,5,6,3
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,4
Kathy Coder,26,0,0,0,0,4
Diana Irey Vaughan,,16,0,0,0,4
Jeff Bartos,,,7,0,0,4
Peg Luksik,,,,4,0,4
Write In,,,,,0,4
Total,26,16,7,4,0,4
1,2,3,4,5,6,4
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,5
Diana Irey Vaughan,0,24,0,0,0,5
Kathy Coder,15,,0,0,0,5
Jeff Bartos,,,5,0,0,5
Peg Luksik,,,,0,0,5
Write In,,,,,0,5
Total,15,24,5,0,0,5
1,3,2,4,5,6,5
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,6
Kathy Coder,10,0,0,0,0,6
Jeff Bartos,,0,9,0,0,6
Diana Irey Vaughan,,3,,0,0,6
Peg Luksik,,,,3,0,6
Write In,,,,,0,6
Total,10,3,9,3,0,6
1,2,4,3,5,6,6
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,7
Kathy Coder,10,0,0,0,0,7
Diana Irey Vaughan,,5,0,0,0,7
Jeff Bartos,,,2,0,0,7
Peg Luksik,,,,2,0,7
Write In,,,,,0,7
Total,10,5,2,2,0,7
1,2,3,4,5,6,7
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,8
Diana Irey Vaughan,0,2,0,0,0,8
Kathy Coder,2,,0,0,0,8
Jeff Bartos,,,0,0,0,8
Peg Luksik,,,,0,0,8
Write In,,,,,0,8
Total,2,2,0,0,0,8
1,3,2,4,5,6,8
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,11
Kathy Coder,2,0,0,0,0,11
Diana Irey Vaughan,,0,0,0,0,11
Jeff Bartos,,,0,0,0,11
Peg Luksik,,,,0,0,11
Write In,,,,,0,11
Total,2,0,0,0,0,11
1,2,3,4,5,6,11
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,12
Kathy Coder,3,0,0,0,0,12
Diana Irey Vaughan,,1,0,0,0,12
Jeff Bartos,,,0,0,0,12
Peg Luksik,,,,0,0,12
Write In,,,,,0,12
Total,3,1,0,0,0,12
1,2,3,4,5,6,12
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,13
Diana Irey Vaughan,0,2,0,0,0,13
Kathy Coder,2,,0,0,0,13
Jeff Bartos,,,0,0,0,13
Peg Luksik,,,,0,0,13
Write In,,,,,0,13
Total,2,2,0,0,0,13
1,3,2,4,5,6,13
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,14
Kathy Coder,3,0,0,0,0,14
Diana Irey Vaughan,,0,0,0,0,14
Jeff Bartos,,,0,0,0,14
Peg Luksik,,,,0,0,14
Write In,,,,,0,14
Total,3,0,0,0,0,14
1,2,3,4,5,6,14
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,15
Kathy Coder,11,0,0,0,0,15
Diana Irey Vaughan,,6,0,0,0,15
Jeff Bartos,,,5,0,0,15
Peg Luksik,,,,1,0,15
Write In,,,,,0,15
Total,11,6,5,1,0,15
1,2,3,4,5,6,15
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,16
Kathy Coder,2,0,0,0,0,16
Diana Irey Vaughan,,1,0,0,0,16
Jeff Bartos,,,1,0,0,16
Peg Luksik,,,,0,0,16
Write In,,,,,0,16
Total,2,1,1,0,0,16
1,2,3,4,5,6,16
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,17
Diana Irey Vaughan,0,2,0,0,0,17
Kathy Coder,2,,0,0,0,17
Jeff Bartos,,,0,0,0,17
Peg Luksik,,,,0,0,17
Write In,,,,,0,17
Total,2,2,0,0,0,17
1,3,2,4,5,6,17
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,18
Kathy Coder,2,0,0,0,0,18
Diana Irey Vaughan,,1,0,0,0,18
Jeff Bartos,,,1,0,0,18
Peg Luksik,,,,0,0,18
Write In,,,,,0,18
Total,2,1,1,0,0,18
1,2,3,4,5,6,18
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,19
Kathy Coder,3,0,0,0,0,19
Diana Irey Vaughan,,2,0,0,0,19
Jeff Bartos,,,0,0,0,19
Peg Luksik,,,,0,0,19
Write In,,,,,0,19
Total,3,2,0,0,0,19
1,2,3,4,5,6,19
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,20
Diana Irey Vaughan,0,25,0,0,0,20
Kathy Coder,24,,0,0,0,20
Jeff Bartos,,,5,0,0,20
Peg Luksik,,,,1,0,20
Write In,,,,,0,20
Total,24,25,5,1,0,20
1,3,2,4,5,6,20
,Kathy Coder Lieutenant Governor - Republican,Diana Irey Vaughan Lieutenant Governor - Republican,Jeff Bartos Lieutenant Governor - Republican,Peg Luksik Lieutenant Governor - Republican,Write In,21
Diana Irey Vaughan,0,3,0,0,0,21
Jeff Bartos,0,,2,0,0,21
Kathy Coder,1,,,0,0,21
Peg Luksik,,,,0,0,21
Write In,,,,,0,21
Total,1,3,2,0,0,21
1,4,2,3,5,6,21
