col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,All
,Calvin R Tucker,Walt Vogler,Denise Furey,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
Calvin R Tucker,2,9,10,11,2,2,0,3,All
Walt Vogler,,0,9,8,5,1,0,4,All
Denise Furey,,,0,8,1,1,0,5,All
Kathy Coder,,,,1,0,0,0,6,All
Diana Irey Vaughan,,,,,0,0,0,7,All
Jeff Bartos,,,,,,0,0,8,All
Peg Luksik,,,,,,,0,9,All
Total,18,15,11,15,6,2,0,10,All
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,2
,Calvin R Tucker,Walt Vogler,Denise Furey,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,2
Calvin R Tucker,1,0,0,0,0,0,0,3,2
Walt Vogler,,0,0,1,0,0,0,4,2
Denise Furey,,,0,0,0,0,0,5,2
Diana Irey Vaughan,,,,0,0,0,0,6,2
Jeff Bartos,,,,,0,0,0,7,2
Kathy Coder,,,,,,0,0,8,2
Peg Luksik,,,,,,,0,9,2
Total,1,1,0,1,0,0,0,10,2
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,3
,Calvin R Tucker,Denise Furey,Walt Vogler,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,3
Calvin R Tucker,0,2,1,2,0,0,0,3,3
Denise Furey,,0,1,2,0,0,0,4,3
Walt Vogler,,,0,1,0,0,0,5,3
Kathy Coder,,,,0,0,0,0,6,3
Diana Irey Vaughan,,,,,0,0,0,7,3
Jeff Bartos,,,,,,0,0,8,3
Peg Luksik,,,,,,,0,9,3
Total,2,2,1,2,0,0,0,10,3
,Member Of The - Republican State Committee 2nd Congressional District,,,Lieutenant Governor - Republican,,,,1,6
