col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,All
Bob Casey Jr,181,779,367,308,268,5,3,All
Mike Stack,,56,0,0,0,0,4,All
Nina Ahmad,,,35,0,0,0,5,All
Kathi Cozzone,,,,18,0,0,6,All
John Fetterman,,,,,18,0,7,All
Ray Sosa,,,,,,3,8,All
Total,"1,908",835,402,326,286,8,9,All
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,1
Bob Casey Jr,2,41,14,12,9,0,3,1
Mike Stack,,3,0,0,0,0,4,1
Nina Ahmad,,,3,0,0,0,5,1
Kathi Cozzone,,,,0,0,0,6,1
John Fetterman,,,,,0,0,7,1
Ray Sosa,,,,,,0,8,1
Total,78,44,17,12,9,0,9,1
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Bob Casey Jr,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,2
Bob Casey Jr,7,28,24,21,21,0,3,2
Mike Stack,,3,0,0,0,0,4,2
Kathi Cozzone,,,1,0,0,0,5,2
John Fetterman,,,,3,0,0,6,2
Nina Ahmad,,,,,2,0,7,2
Ray Sosa,,,,,,0,8,2
Total,101,31,25,24,23,0,9,2
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Bob Casey Jr,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,3
Bob Casey Jr,8,28,11,10,10,0,3,3
Mike Stack,,1,0,0,0,0,4,3
Kathi Cozzone,,,1,0,0,0,5,3
John Fetterman,,,,0,0,0,6,3
Nina Ahmad,,,,,0,0,7,3
Ray Sosa,,,,,,0,8,3
Total,67,29,12,10,10,0,9,3
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Bob Casey Jr,12,33,16,14,2,0,3,4
Mike Stack,,1,0,0,0,0,4,4
Kathi Cozzone,,,2,0,0,0,5,4
Nina Ahmad,,,,1,0,0,6,4
John Fetterman,,,,,1,0,7,4
Ray Sosa,,,,,,0,8,4
Total,77,34,18,15,3,0,9,4
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,5
Bob Casey Jr,4,29,12,11,7,0,3,5
Mike Stack,,4,0,0,0,0,4,5
Nina Ahmad,,,2,0,0,0,5,5
John Fetterman,,,,2,0,0,6,5
Kathi Cozzone,,,,,1,0,7,5
Ray Sosa,,,,,,0,8,5
Total,63,33,14,13,8,0,9,5
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,6
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,6
Bob Casey Jr,7,33,10,7,4,0,3,6
Mike Stack,,0,0,0,0,0,4,6
Nina Ahmad,,,2,0,0,0,5,6
Kathi Cozzone,,,,1,0,0,6,6
John Fetterman,,,,,0,0,7,6
Ray Sosa,,,,,,0,8,6
Total,61,33,12,8,4,0,9,6
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,7
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,7
Bob Casey Jr,9,43,10,6,7,0,3,7
Mike Stack,,1,0,0,0,0,4,7
Nina Ahmad,,,0,0,0,0,5,7
John Fetterman,,,,1,0,0,6,7
Kathi Cozzone,,,,,0,0,7,7
Ray Sosa,,,,,,0,8,7
Total,75,44,10,7,7,0,9,7
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,8
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,8
Bob Casey Jr,6,30,25,21,5,0,3,8
Mike Stack,,1,0,0,0,0,4,8
Nina Ahmad,,,1,0,0,0,5,8
John Fetterman,,,,2,0,0,6,8
Kathi Cozzone,,,,,0,0,7,8
Ray Sosa,,,,,,1,8,8
Total,87,31,26,23,5,1,9,8
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,9
,Bob Casey Jr,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,2,9
Bob Casey Jr,13,69,60,59,15,0,3,9
Mike Stack,,3,0,0,0,0,4,9
Nina Ahmad,,,3,0,0,0,5,9
John Fetterman,,,,2,0,0,6,9
Kathi Cozzone,,,,,0,0,7,9
Ray Sosa,,,,,,1,8,9
Total,216,72,63,61,15,1,9,9
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,10
,Bob Casey Jr,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,10
Bob Casey Jr,9,33,16,8,7,0,3,10
Mike Stack,,2,0,0,0,0,4,10
Kathi Cozzone,,,1,0,0,0,5,10
John Fetterman,,,,2,0,0,6,10
Nina Ahmad,,,,,0,0,7,10
Ray Sosa,,,,,,1,8,10
Total,73,35,17,10,7,1,9,10
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,11
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,11
Bob Casey Jr,5,37,14,12,5,1,3,11
Mike Stack,,2,0,0,0,0,4,11
Nina Ahmad,,,2,0,0,0,5,11
Kathi Cozzone,,,,1,0,0,6,11
John Fetterman,,,,,1,0,7,11
Ray Sosa,,,,,,0,8,11
Total,74,39,16,13,6,1,9,11
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,12
,Bob Casey Jr,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,12
Bob Casey Jr,7,29,23,16,13,0,3,12
Mike Stack,,1,0,0,0,0,4,12
John Fetterman,,,0,0,0,0,5,12
