col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,All
,David Torres,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,All
David Torres,15,130,115,116,74,59,All
Linwood Holland,,11,88,86,49,36,All
Camille G Mccolgan,,,4,96,51,44,All
Margaret L Recupido,,,,2,53,42,All
Dan Tinney,,,,,2,45,All
Joseph Giedemann,,,,,,2,All
Total,208,149,129,128,82,67,All
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,1
,David Torres,Camille G Mccolgan,Linwood Holland,Margaret L Recupido,Dan Tinney,Joseph Giedemann,1
David Torres,1,12,10,9,7,6,1
Camille G Mccolgan,,1,10,8,6,6,1
Linwood Holland,,,1,7,6,6,1
Margaret L Recupido,,,,0,3,3,1
Dan Tinney,,,,,0,3,1
Joseph Giedemann,,,,,,0,1
Total,15,13,11,9,7,6,1
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,2
,David Torres,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,2
David Torres,0,9,9,9,5,3,2
Linwood Holland,,1,5,5,0,0,2
Camille G Mccolgan,,,0,9,4,3,2
Margaret L Recupido,,,,0,4,3,2
Dan Tinney,,,,,0,3,2
Joseph Giedemann,,,,,,0,2
Total,14,10,9,9,5,3,2
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,3
,David Torres,Joseph Giedemann,Camille G Mccolgan,Linwood Holland,Dan Tinney,Margaret L Recupido,3
David Torres,0,6,5,5,4,4,3
Joseph Giedemann,,0,4,4,4,3,3
Camille G Mccolgan,,,0,3,3,2,3
Linwood Holland,,,,0,3,2,3
Dan Tinney,,,,,0,2,3
Margaret L Recupido,,,,,,0,3
Total,9,6,5,5,4,4,3
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,4
,David Torres,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,4
David Torres,0,8,7,7,4,2,4
Linwood Holland,,2,5,5,2,1,4
Camille G Mccolgan,,,1,7,3,2,4
Margaret L Recupido,,,,0,4,2,4
Dan Tinney,,,,,0,1,4
Joseph Giedemann,,,,,,0,4
Total,11,10,9,8,4,2,4
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,5
,David Torres,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,5
David Torres,5,32,29,28,12,11,5
Linwood Holland,,0,25,22,8,6,5
Camille G Mccolgan,,,0,25,8,8,5
Margaret L Recupido,,,,1,7,5,5
Dan Tinney,,,,,1,7,5
Joseph Giedemann,,,,,,0,5
Total,50,34,31,31,13,12,5
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,6
,David Torres,Margaret L Recupido,Linwood Holland,Dan Tinney,Joseph Giedemann,Camille G Mccolgan,6
David Torres,0,7,7,4,3,2,6
Margaret L Recupido,,1,6,4,3,2,6
Linwood Holland,,,0,4,3,2,6
Dan Tinney,,,,0,3,0,6
Joseph Giedemann,,,,,0,0,6
Camille G Mccolgan,,,,,,0,6
Total,8,8,7,4,3,2,6
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,7
,David Torres,Camille G Mccolgan,Linwood Holland,Joseph Giedemann,Dan Tinney,Margaret L Recupido,7
David Torres,4,12,13,10,9,10,7
Camille G Mccolgan,,1,10,8,7,8,7
Linwood Holland,,,0,9,9,8,7
Joseph Giedemann,,,,0,8,7,7
Dan Tinney,,,,,0,6,7
Margaret L Recupido,,,,,,0,7
Total,21,14,14,12,11,11,7
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,8
,David Torres,Dan Tinney,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Joseph Giedemann,8
David Torres,0,3,2,3,2,1,8
Dan Tinney,,0,0,0,0,1,8
Linwood Holland,,,1,2,2,0,8
Margaret L Recupido,,,,0,2,0,8
Camille G Mccolgan,,,,,0,0,8
Joseph Giedemann,,,,,,0,8
Total,6,3,3,3,2,1,8
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,9
,David Torres,Linwood Holland,Camille G Mccolgan,Margaret L Recupido,Dan Tinney,Joseph Giedemann,9
David Torres,2,6,4,4,3,3,9
Linwood Holland,,0,4,4,3,2,9
Camille G Mccolgan,,,0,4,3,2,9
Margaret L Recupido,,,,0,3,2,9
Dan Tinney,,,,,0,3,9
Joseph Giedemann,,,,,,0,9
Total,9,6,5,5,4,4,9
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,10
,David Torres,Joseph Giedemann,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Linwood Holland,10
David Torres,0,4,5,3,3,2,10
Joseph Giedemann,,1,3,2,3,0,10
Margaret L Recupido,,,0,3,3,1,10
Camille G Mccolgan,,,,0,2,1,10
Dan Tinney,,,,,0,0,10
Linwood Holland,,,,,,1,10
Total,7,5,5,3,3,3,10
,Member Of The - Republican State Committee 13th Congressional District,,,,,Representative In Congress 2nd District - Republican,11
,Linwood Holland,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,David Torres,11
Linwood Holland,1,3,2,2,0,4,11
Margaret L Recupido,,0,2,1,0,2,11
Camille G Mccolgan,,,0,1,0,1,11
Dan Tinney,,,,0,0,1,11
Joseph Giedemann,,,,,0,0,11
David Torres,,,,,,0,11
Total,6,3,2,2,0,4,11
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,12
,David Torres,Camille G Mccolgan,Linwood Holland,Dan Tinney,Margaret L Recupido,Joseph Giedemann,12
David Torres,0,4,4,3,3,1,12
Camille G Mccolgan,,0,3,3,3,1,12
Linwood Holland,,,0,2,2,0,12
Dan Tinney,,,,0,2,1,12
Margaret L Recupido,,,,,0,1,12
Joseph Giedemann,,,,,,0,12
Total,5,4,4,3,3,1,12
,Representative In Congress 2nd District - Republican,Member Of The - Republican State Committee 13th Congressional District,,,,,13
,David Torres,Margaret L Recupido,Camille G Mccolgan,Dan Tinney,Joseph Giedemann,Linwood Holland,13
David Torres,1,1,0,0,0,0,13
Margaret L Recupido,,0,0,0,0,0,13
Camille G Mccolgan,,,0,0,0,0,13
