col_1,col_2,col_3,col_4,col_5,col_6,order,division
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,All
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
David Torres,6,51,27,21,6,3,All
Kathy Coder,,2,0,0,0,4,All
Diana Irey Vaughan,,,3,0,0,5,All
Jeff Bartos,,,,4,0,6,All
Peg Luksik,,,,,2,7,All
Total,111,53,30,25,8,8,All
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,2
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,2
David Torres,0,1,0,0,0,3,2
Kathy Coder,,0,0,0,0,4,2
Diana Irey Vaughan,,,0,0,0,5,2
Jeff Bartos,,,,0,0,6,2
Peg Luksik,,,,,0,7,2
Total,1,1,0,0,0,8,2
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,3
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,3
David Torres,0,2,1,0,0,3,3
Kathy Coder,,0,0,0,0,4,3
Jeff Bartos,,,0,0,0,5,3
Diana Irey Vaughan,,,,0,0,6,3
Peg Luksik,,,,,0,7,3
Total,3,2,1,0,0,8,3
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,4
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,4
David Torres,1,4,4,1,1,3,4
Diana Irey Vaughan,,0,0,0,0,4,4
Kathy Coder,,,0,0,0,5,4
Jeff Bartos,,,,1,0,6,4
Peg Luksik,,,,,0,7,4
Total,11,4,4,2,1,8,4
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,5
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,5
David Torres,0,3,2,0,0,3,5
Kathy Coder,,0,0,0,0,4,5
Jeff Bartos,,,0,0,0,5,5
Diana Irey Vaughan,,,,0,0,6,5
Peg Luksik,,,,,0,7,5
Total,5,3,2,0,0,8,5
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,6
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,6
David Torres,0,2,2,1,0,3,6
Jeff Bartos,,1,0,0,0,4,6
Kathy Coder,,,0,0,0,5,6
Diana Irey Vaughan,,,,0,0,6,6
Peg Luksik,,,,,0,7,6
Total,5,3,2,1,0,8,6
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,7
,David Torres,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,7
David Torres,0,2,1,1,0,3,7
Diana Irey Vaughan,,0,0,0,0,4,7
Jeff Bartos,,,0,0,0,5,7
Kathy Coder,,,,0,0,6,7
Peg Luksik,,,,,0,7,7
Total,4,2,1,1,0,8,7
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,8
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,8
David Torres,0,2,2,1,0,3,8
Diana Irey Vaughan,,0,0,0,0,4,8
Kathy Coder,,,0,0,0,5,8
Jeff Bartos,,,,0,0,6,8
Peg Luksik,,,,,0,7,8
Total,5,2,2,1,0,8,8
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,9
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,9
David Torres,0,3,3,2,1,3,9
Diana Irey Vaughan,,1,0,0,0,4,9
Kathy Coder,,,0,0,0,5,9
Jeff Bartos,,,,0,0,6,9
Peg Luksik,,,,,1,7,9
Total,9,4,3,2,2,8,9
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,10
,David Torres,Kathy Coder,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,2,10
David Torres,1,7,5,4,2,3,10
Kathy Coder,,0,0,0,0,4,10
Jeff Bartos,,,0,0,0,5,10
Diana Irey Vaughan,,,,0,0,6,10
Peg Luksik,,,,,0,7,10
Total,19,7,5,4,2,8,10
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,11
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,11
David Torres,1,2,0,0,0,3,11
Kathy Coder,,0,0,0,0,4,11
Diana Irey Vaughan,,,0,0,0,5,11
Jeff Bartos,,,,0,0,6,11
Peg Luksik,,,,,0,7,11
Total,3,2,0,0,0,8,11
,Lieutenant Governor - Republican,,,,Representative In Congress 2nd District - Republican,1,12
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,David Torres,2,12
Diana Irey Vaughan,1,0,0,0,0,3,12
Jeff Bartos,,0,0,0,0,4,12
Kathy Coder,,,0,0,0,5,12
Peg Luksik,,,,0,0,6,12
David Torres,,,,,0,7,12
Total,1,0,0,0,0,8,12
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,13
,David Torres,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,2,13
David Torres,1,4,3,3,1,3,13
Diana Irey Vaughan,,0,0,0,0,4,13
Jeff Bartos,,,1,0,0,5,13
Kathy Coder,,,,0,0,6,13
Peg Luksik,,,,,0,7,13
Total,12,4,4,3,1,8,13
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,14
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,14
David Torres,1,9,2,2,1,3,14
Kathy Coder,,1,0,0,0,4,14
Diana Irey Vaughan,,,0,0,0,5,14
Jeff Bartos,,,,0,0,6,14
Peg Luksik,,,,,0,7,14
Total,15,10,2,2,1,8,14
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,15
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,15
David Torres,0,3,1,1,0,3,15
Kathy Coder,,0,0,0,0,4,15
Diana Irey Vaughan,,,0,0,0,5,15
Jeff Bartos,,,,0,0,6,15
Peg Luksik,,,,,0,7,15
Total,5,3,1,1,0,8,15
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,17
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,17
David Torres,1,1,0,0,0,3,17
Kathy Coder,,0,0,0,0,4,17
Diana Irey Vaughan,,,0,0,0,5,17
Jeff Bartos,,,,0,0,6,17
Peg Luksik,,,,,0,7,17
Total,2,1,0,0,0,8,17
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,19
,David Torres,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,19
David Torres,0,1,1,0,0,3,19
Diana Irey Vaughan,,0,0,0,0,4,19
Kathy Coder,,,0,0,0,5,19
Jeff Bartos,,,,0,0,6,19
Peg Luksik,,,,,0,7,19
Total,2,1,1,0,0,8,19
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,20
,David Torres,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Jeff Bartos,2,20
David Torres,0,4,1,0,0,3,20
Kathy Coder,,1,0,0,0,4,20
Diana Irey Vaughan,,,0,0,0,5,20
Peg Luksik,,,,1,0,6,20
Jeff Bartos,,,,,0,7,20
Total,5,5,1,1,0,8,20
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,21
,David Torres,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,2,21
David Torres,0,0,1,0,0,3,21
Jeff Bartos,,1,0,0,0,4,21
Kathy Coder,,,0,0,0,5,21
Diana Irey Vaughan,,,,0,0,6,21
Peg Luksik,,,,,0,7,21
Total,1,1,1,0,0,8,21
,Representative In Congress 2nd District - Republican,Lieutenant Governor - Republican,,,,1,22
,David Torres,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,22
David Torres,0,2,0,0,0,3,22
Kathy Coder,,0,0,0,0,4,22
Diana Irey Vaughan,,,0,0,0,5,22
Jeff Bartos,,,,0,0,6,22
Peg Luksik,,,,,0,7,22
Total,2,2,0,0,0,8,22
,Lieutenant Governor - Republican,,,,Representative In Congress 2nd District - Republican,1,23
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,David Torres,2,23
Diana Irey Vaughan,1,0,0,0,2,3,23
Jeff Bartos,,0,0,0,0,4,23
Kathy Coder,,,0,0,0,5,23
Peg Luksik,,,,0,0,6,23
David Torres,,,,,0,7,23
Total,3,0,0,0,2,8,23
