col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Member Of The Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,All
,Kathryn S Huggins,Rebecca Poyourow,Liam G Boyle,Joe Khan,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Ken Washington,Dewayne Drummond,John Brady,Jacque Whaumbush,Kevin Bundy,Nat Lownes,Jaime Bouldin,Barbara Carroll,Sharon Vaughn,David Rodriguez,Humberto Perez,Dustin Morris,Latrice Y Bryant,Robert Taylor,Jonathan M Gary,All
Kathryn S Huggins,126,928,719,499,710,715,673,571,564,348,382,372,206,0,0,0,0,0,0,0,0,0,All
Rebecca Poyourow,,50,724,677,683,704,659,428,410,441,474,255,182,0,0,0,0,0,0,0,0,0,All
Liam G Boyle,,,95,479,407,402,406,458,397,421,311,327,134,0,0,0,0,0,0,0,0,0,All
Joe Khan,,,,39,356,386,322,225,222,392,321,181,114,0,0,0,0,0,0,0,0,0,All
Lisa Rhodes,,,,,9,553,650,291,324,233,348,168,136,0,0,0,0,0,0,0,0,0,All
Monica Maria Djerassi,,,,,,2,518,273,281,234,334,191,143,0,0,0,0,0,0,0,0,0,All
Linda Norris,,,,,,,6,295,290,217,308,146,124,0,0,0,0,0,0,0,0,0,All
Ken Washington,,,,,,,,19,436,182,146,254,122,0,0,0,0,0,0,0,0,0,All
Dewayne Drummond,,,,,,,,,11,159,144,257,130,0,0,0,0,0,0,0,0,0,All
John Brady,,,,,,,,,,20,256,180,93,0,0,0,0,0,0,0,0,0,All
Jacque Whaumbush,,,,,,,,,,,6,101,85,0,0,0,0,0,0,0,0,0,All
Kevin Bundy,,,,,,,,,,,,14,101,0,0,0,0,0,0,0,0,0,All
Nat Lownes,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,All
Jaime Bouldin,,,,,,,,,,,,,,120,871,871,913,900,802,803,764,773,All
Barbara Carroll,,,,,,,,,,,,,,,32,988,863,860,818,886,782,785,All
Sharon Vaughn,,,,,,,,,,,,,,,,22,873,864,826,889,783,786,All
David Rodriguez,,,,,,,,,,,,,,,,,63,933,800,815,768,767,All
Humberto Perez,,,,,,,,,,,,,,,,,,41,786,810,756,762,All
Dustin Morris,,,,,,,,,,,,,,,,,,,83,772,749,755,All
Latrice Y Bryant,,,,,,,,,,,,,,,,,,,,11,761,768,All
Robert Taylor,,,,,,,,,,,,,,,,,,,,,10,749,All
Jonathan M Gary,,,,,,,,,,,,,,,,,,,,,,2,All
Total,"1,408","1,382","1,125",926,892,877,845,709,671,650,603,487,280,"1,105","1,061","1,058","1,051","1,020",942,922,814,805,All
