To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,All
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,0,All
Bob Casey Jr,67,0,267,115,106,71,5,0,All
Write In,,1,0,0,0,0,0,0,All
Mike Stack,,,20,0,0,0,0,0,All
Nina Ahmad,,,,12,0,0,0,0,All
Kathi Cozzone,,,,,10,0,0,0,All
John Fetterman,,,,,,3,0,0,All
Ray Sosa,,,,,,,5,0,All
Total,636,1,288,128,117,75,11,0,All
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,1
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,0,1
Bob Casey Jr,5,0,19,16,14,4,0,0,1
Write In,,1,0,0,0,0,0,0,1
Mike Stack,,,1,0,0,0,0,0,1
Nina Ahmad,,,,2,0,0,0,0,1
John Fetterman,,,,,2,0,0,0,1
Kathi Cozzone,,,,,,1,0,0,1
Ray Sosa,,,,,,,1,0,1
Total,62,1,21,19,17,6,1,0,1
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,2
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,0,2
Bob Casey Jr,2,0,24,15,13,5,0,0,2
Write In,,1,0,0,0,0,0,0,2
Mike Stack,,,4,0,0,0,0,0,2
Nina Ahmad,,,,1,0,0,0,0,2
Kathi Cozzone,,,,,2,0,0,0,2
John Fetterman,,,,,,1,0,0,2
Ray Sosa,,,,,,,1,0,2
Total,64,1,29,17,16,7,2,0,2
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,3
,Bob Casey Jr,Write In,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,0,3
Bob Casey Jr,3,0,17,16,12,6,0,0,3
Write In,,1,0,0,0,0,0,0,3
Nina Ahmad,,,1,0,0,0,0,0,3
Mike Stack,,,,1,0,0,0,0,3
John Fetterman,,,,,1,0,0,0,3
Kathi Cozzone,,,,,,3,0,0,3
Ray Sosa,,,,,,,1,0,3
Total,58,1,19,18,14,10,1,0,3
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,4
,Bob Casey Jr,Write In,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,0,4
Bob Casey Jr,7,0,10,6,4,3,0,0,4
Write In,,1,0,0,0,0,0,0,4
Mike Stack,,,2,0,0,0,0,0,4
John Fetterman,,,,1,0,0,0,0,4
Nina Ahmad,,,,,2,0,0,0,4
Kathi Cozzone,,,,,,2,0,0,4
Ray Sosa,,,,,,,1,0,4
Total,34,1,13,8,7,6,1,0,4
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,5
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,5
Bob Casey Jr,16,0,17,13,6,3,0,0,5
Write In,,1,0,0,0,0,0,0,5
Mike Stack,,,4,0,0,0,0,0,5
Kathi Cozzone,,,,1,0,0,0,0,5
Nina Ahmad,,,,,3,0,0,0,5
John Fetterman,,,,,,1,0,0,5
Ray Sosa,,,,,,,1,0,5
Total,60,1,22,15,10,5,2,0,5
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,6
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,0,6
Bob Casey Jr,5,0,14,6,3,2,0,0,6
Write In,,1,0,0,0,0,0,0,6
Mike Stack,,,1,0,0,0,0,0,6
Nina Ahmad,,,,3,0,0,0,0,6
John Fetterman,,,,,2,0,0,0,6
Kathi Cozzone,,,,,,1,0,0,6
Ray Sosa,,,,,,,2,0,6
Total,34,1,16,10,6,4,2,0,6
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,7
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,0,7
Bob Casey Jr,6,0,37,9,4,2,0,0,7
Write In,,1,0,0,0,0,0,0,7
Mike Stack,,,2,0,0,0,0,0,7
Nina Ahmad,,,,4,0,0,0,0,7
Kathi Cozzone,,,,,2,0,0,0,7
John Fetterman,,,,,,1,0,0,7
Ray Sosa,,,,,,,1,0,7
Total,62,1,40,14,7,4,1,0,7
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,8
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,8
Bob Casey Jr,4,0,28,10,6,5,0,0,8
Write In,,1,0,0,0,0,0,0,8
Mike Stack,,,3,0,0,0,0,0,8
Kathi Cozzone,,,,2,0,0,0,0,8
Nina Ahmad,,,,,1,0,0,0,8
John Fetterman,,,,,,1,0,0,8
Ray Sosa,,,,,,,1,0,8
Total,57,1,32,13,8,7,1,0,8
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,9
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,9
Bob Casey Jr,4,0,7,5,3,0,0,0,9
Write In,,1,0,0,0,0,0,0,9
Mike Stack,,,3,0,0,0,0,0,9
Kathi Cozzone,,,,1,0,0,0,0,9
Nina Ahmad,,,,,1,0,0,0,9
John Fetterman,,,,,,1,0,0,9
Ray Sosa,,,,,,,1,0,9
Total,23,1,11,7,5,2,1,0,9
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,10
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,10
Bob Casey Jr,8,0,9,2,1,0,0,0,10
Write In,,1,0,0,0,0,0,0,10
Mike Stack,,,2,0,0,0,0,0,10
Kathi Cozzone,,,,1,0,0,0,0,10
Nina Ahmad,,,,,1,0,0,0,10
John Fetterman,,,,,,1,0,0,10
Ray Sosa,,,,,,,1,0,10
Total,25,1,12,4,3,2,2,0,10
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,11
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,0,11
Bob Casey Jr,7,0,25,13,5,0,0,0,11
Write In,,1,0,0,0,0,0,0,11
Mike Stack,,,3,0,0,0,0,0,11
Kathi Cozzone,,,,2,0,0,0,0,11
Nina Ahmad,,,,,2,0,0,0,11
Ray Sosa,,,,,,4,0,0,11
John Fetterman,,,,,,,1,0,11
Total,55,1,29,16,8,5,2,0,11
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,12
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,0,12
Bob Casey Jr,1,0,4,4,1,1,0,0,12
Write In,,1,0,0,0,0,0,0,12
Mike Stack,,,2,0,0,0,0,0,12
Nina Ahmad,,,,2,0,0,0,0,12
John Fetterman,,,,,1,0,0,0,12
Kathi Cozzone,,,,,,1,0,0,12
Ray Sosa,,,,,,,1,0,12
Total,15,1,7,7,3,3,1,0,12
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,13
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,13
Bob Casey Jr,9,0,29,14,7,6,0,0,13
Write In,,1,0,0,0,0,0,0,13
Mike Stack,,,3,0,0,0,0,0,13
Kathi Cozzone,,,,3,0,0,0,0,13
Nina Ahmad,,,,,1,0,0,0,13
John Fetterman,,,,,,1,0,0,13
Ray Sosa,,,,,,,1,0,13
Total,70,1,33,18,9,8,2,0,13
To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,0,14
,Bob Casey Jr,Write In,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,0,14
Bob Casey Jr,3,0,15,3,3,1,0,0,14
Write In,,1,0,0,0,0,0,0,14
Mike Stack,,,2,0,0,0,0,0,14
Kathi Cozzone,,,,1,0,0,0,0,14
Nina Ahmad,,,,,1,0,0,0,14
John Fetterman,,,,,,1,0,0,14
Ray Sosa,,,,,,,1,0,14
Total,30,1,18,5,5,3,2,0,14
