col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Lieutenant Governor - Democrat,,,,,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,1,All
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,Rich Lazer,Molly Sheehan,Lindy Li,Mary Gay Scanlon,Theresa M Wright,Ashley Lunkenheimer,Greg Vitali,Thaddeus Kirkland,Margo Davidson,Larry Arata,Dan Muroff,Shelly Chauncey,David Wertime,2,All
Mike Stack,"47,072",0,0,0,0,"2,082",712,383,209,172,249,147,103,79,45,3,3,0,3,All
Nina Ahmad,,"34,639",0,0,0,488,313,532,355,69,199,25,101,94,25,1,2,0,4,All
John Fetterman,,,"22,317",0,0,416,273,166,218,72,138,75,11,11,22,0,0,0,5,All
Kathi Cozzone,,,,"19,645",0,254,203,156,79,579,139,186,24,18,11,7,1,0,6,All
Ray Sosa,,,,,"1,223",29,3,23,21,8,6,6,6,2,1,0,0,1,7,All
Rich Lazer,,,,,,"1,553",0,0,0,0,0,0,0,0,0,0,0,0,8,All
Molly Sheehan,,,,,,,61,0,0,0,0,0,0,0,0,0,0,0,9,All
Lindy Li,,,,,,,,195,0,0,0,0,0,0,0,0,0,0,10,All
Mary Gay Scanlon,,,,,,,,,89,0,0,0,0,0,0,0,0,0,11,All
Theresa M Wright,,,,,,,,,,66,0,0,0,0,0,0,0,0,12,All
Ashley Lunkenheimer,,,,,,,,,,,61,0,0,0,0,0,0,0,13,All
Greg Vitali,,,,,,,,,,,,42,0,0,0,0,0,0,14,All
Thaddeus Kirkland,,,,,,,,,,,,,55,0,0,0,0,0,15,All
Margo Davidson,,,,,,,,,,,,,,46,0,0,0,0,16,All
Larry Arata,,,,,,,,,,,,,,,25,0,0,0,17,All
Dan Muroff,,,,,,,,,,,,,,,,1,0,0,18,All
Shelly Chauncey,,,,,,,,,,,,,,,,,5,0,19,All
David Wertime,,,,,,,,,,,,,,,,,,0,20,All
Total,"51,259","36,843","23,719","21,302","1,329","4,822","1,565","1,455",971,966,792,481,300,250,129,12,11,1,21,All
