col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,"4,192",3,All
Total,"4,192",4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,81,3,1
Total,81,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,89,3,2
Total,89,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,87,3,3
Total,87,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,44,3,4
Total,44,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,104,3,5
Total,104,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,58,3,6
Total,58,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,73,3,7
Total,73,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,47,3,8
Total,47,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,83,3,9
Total,83,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,61,3,10
Total,61,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,95,3,11
Total,95,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,78,3,12
Total,78,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,71,3,13
Total,71,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,146,3,14
Total,146,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,92,3,15
Total,92,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,48,3,16
Total,48,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,85,3,17
Total,85,4,17
,Governor - Democrat,1,18
,Tom Wolf,2,18
Tom Wolf,80,3,18
Total,80,4,18
,Governor - Democrat,1,19
,Tom Wolf,2,19
Tom Wolf,68,3,19
Total,68,4,19
,Governor - Democrat,1,20
,Tom Wolf,2,20
Tom Wolf,71,3,20
Total,71,4,20
,Governor - Democrat,1,21
,Tom Wolf,2,21
Tom Wolf,54,3,21
Total,54,4,21
,Governor - Democrat,1,22
,Tom Wolf,2,22
Tom Wolf,116,3,22
Total,116,4,22
,Governor - Democrat,1,23
,Tom Wolf,2,23
Tom Wolf,152,3,23
Total,152,4,23
,Governor - Democrat,1,24
,Tom Wolf,2,24
Tom Wolf,296,3,24
Total,296,4,24
,Governor - Democrat,1,25
,Tom Wolf,2,25
Tom Wolf,90,3,25
Total,90,4,25
,Governor - Democrat,1,26
,Tom Wolf,2,26
Tom Wolf,86,3,26
Total,86,4,26
,Governor - Democrat,1,27
,Tom Wolf,2,27
Tom Wolf,86,3,27
Total,86,4,27
,Governor - Democrat,1,28
,Tom Wolf,2,28
Tom Wolf,110,3,28
Total,110,4,28
,Governor - Democrat,1,29
,Tom Wolf,2,29
Tom Wolf,81,3,29
Total,81,4,29
,Governor - Democrat,1,30
,Tom Wolf,2,30
Tom Wolf,120,3,30
Total,120,4,30
,Governor - Democrat,1,31
,Tom Wolf,2,31
Tom Wolf,94,3,31
Total,94,4,31
,Governor - Democrat,1,32
,Tom Wolf,2,32
Tom Wolf,63,3,32
Total,63,4,32
,Governor - Democrat,1,33
,Tom Wolf,2,33
Tom Wolf,165,3,33
Total,165,4,33
,Governor - Democrat,1,34
,Tom Wolf,2,34
Tom Wolf,169,3,34
Total,169,4,34
,Governor - Democrat,1,35
,Tom Wolf,2,35
Tom Wolf,122,3,35
Total,122,4,35
,Governor - Democrat,1,36
,Tom Wolf,2,36
Tom Wolf,43,3,36
Total,43,4,36
,Governor - Democrat,1,37
,Tom Wolf,2,37
Tom Wolf,65,3,37
Total,65,4,37
,Governor - Democrat,1,38
,Tom Wolf,2,38
Tom Wolf,85,3,38
Total,85,4,38
,Governor - Democrat,1,39
,Tom Wolf,2,39
Tom Wolf,113,3,39
Total,113,4,39
,Governor - Democrat,1,40
,Tom Wolf,2,40
Tom Wolf,98,3,40
Total,98,4,40
,Governor - Democrat,1,41
,Tom Wolf,2,41
Tom Wolf,96,3,41
Total,96,4,41
,Governor - Democrat,1,42
,Tom Wolf,2,42
Tom Wolf,51,3,42
Total,51,4,42
,Governor - Democrat,1,43
,Tom Wolf,2,43
Tom Wolf,67,3,43
Total,67,4,43
,Governor - Democrat,1,44
,Tom Wolf,2,44
Tom Wolf,51,3,44
Total,51,4,44
,Governor - Democrat,1,45
,Tom Wolf,2,45
Tom Wolf,158,3,45
Total,158,4,45
