col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Lieutenant Governor - Republican,,,,Member Of The - Republican State Committee 2nd Congressional District,,,All
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Walt Vogler,Denise Furey,Calvin R Tucker,All
Kathy Coder,"4,164",0,0,0,673,630,564,All
Diana Irey Vaughan,,"3,232",0,0,385,405,365,All
Jeff Bartos,,,"2,629",0,580,519,511,All
Peg Luksik,,,,495,62,80,62,All
Walt Vogler,,,,,70,"1,329","1,293",All
Denise Furey,,,,,,53,"1,296",All
Calvin R Tucker,,,,,,,52,All
Total,"5,098","3,819","3,324",587,"1,849","1,768","1,631",All
