col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
Tom Wolf,129,460,266,123,59,14,3,All
Mike Stack,,24,0,0,0,0,4,All
Kathi Cozzone,,,9,0,0,0,5,All
Nina Ahmad,,,,16,0,0,6,All
John Fetterman,,,,,10,0,7,All
Ray Sosa,,,,,,2,8,All
Total,"1,051",484,275,139,69,16,9,All
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Tom Wolf,2,15,11,7,1,0,3,1
Mike Stack,,0,0,0,0,0,4,1
Kathi Cozzone,,,0,0,0,0,5,1
Nina Ahmad,,,,2,0,0,6,1
John Fetterman,,,,,0,0,7,1
Ray Sosa,,,,,,0,8,1
Total,36,15,11,9,1,0,9,1
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,2
Tom Wolf,2,20,14,10,4,1,3,2
Mike Stack,,3,0,0,0,0,4,2
Kathi Cozzone,,,0,0,0,0,5,2
Nina Ahmad,,,,1,0,0,6,2
John Fetterman,,,,,1,0,7,2
Ray Sosa,,,,,,0,8,2
Total,51,23,14,11,5,1,9,2
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Tom Wolf,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Tom Wolf,7,16,15,7,3,1,3,3
Kathi Cozzone,,0,0,0,0,0,4,3
Mike Stack,,,1,0,0,0,5,3
Nina Ahmad,,,,0,0,0,6,3
John Fetterman,,,,,0,0,7,3
Ray Sosa,,,,,,0,8,3
Total,49,16,16,7,3,1,9,3
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,4
Tom Wolf,4,17,9,3,1,0,3,4
Mike Stack,,2,0,0,0,0,4,4
Nina Ahmad,,,3,0,0,0,5,4
Kathi Cozzone,,,,0,0,0,6,4
John Fetterman,,,,,0,0,7,4
Ray Sosa,,,,,,0,8,4
Total,34,19,12,3,1,0,9,4
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Tom Wolf,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Tom Wolf,15,31,19,10,4,2,3,5
Kathi Cozzone,,4,0,0,0,0,4,5
Mike Stack,,,2,0,0,0,5,5
Nina Ahmad,,,,0,0,0,6,5
John Fetterman,,,,,0,0,7,5
Ray Sosa,,,,,,0,8,5
Total,81,35,21,10,4,2,9,5
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,6
,Tom Wolf,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,6
Tom Wolf,1,9,10,5,3,0,3,6
Kathi Cozzone,,1,0,0,0,0,4,6
Mike Stack,,,0,0,0,0,5,6
Nina Ahmad,,,,2,0,0,6,6
John Fetterman,,,,,0,0,7,6
Ray Sosa,,,,,,0,8,6
Total,28,10,10,7,3,0,9,6
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,7
,Tom Wolf,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,7
Tom Wolf,2,21,20,12,0,0,3,7
Kathi Cozzone,,0,0,0,0,0,4,7
Mike Stack,,,0,0,0,0,5,7
Nina Ahmad,,,,0,0,0,6,7
John Fetterman,,,,,0,0,7,7
Ray Sosa,,,,,,0,8,7
Total,55,21,20,12,0,0,9,7
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,8
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,8
Tom Wolf,3,36,9,9,2,2,3,8
Mike Stack,,1,0,0,0,0,4,8
Kathi Cozzone,,,0,0,0,0,5,8
Nina Ahmad,,,,0,0,0,6,8
John Fetterman,,,,,0,0,7,8
Ray Sosa,,,,,,0,8,8
Total,61,37,9,9,2,2,9,8
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,9
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,9
Tom Wolf,5,56,8,3,1,0,3,9
Mike Stack,,3,0,0,0,0,4,9
Kathi Cozzone,,,0,0,0,0,5,9
Nina Ahmad,,,,1,0,0,6,9
John Fetterman,,,,,0,0,7,9
Ray Sosa,,,,,,0,8,9
Total,73,59,8,4,1,0,9,9
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,10
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2,10
Tom Wolf,6,39,25,13,1,0,3,10
Mike Stack,,0,0,0,0,0,4,10
Kathi Cozzone,,,0,0,0,0,5,10
Nina Ahmad,,,,0,0,0,6,10
Ray Sosa,,,,,1,0,7,10
John Fetterman,,,,,,1,8,10
Total,84,39,25,13,2,1,9,10
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,11
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2,11
Tom Wolf,6,36,15,12,2,1,3,11
Mike Stack,,3,0,0,0,0,4,11
Kathi Cozzone,,,0,0,0,0,5,11
Nina Ahmad,,,,0,0,0,6,11
Ray Sosa,,,,,0,0,7,11
John Fetterman,,,,,,0,8,11
Total,72,39,15,12,2,1,9,11
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,12
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,12
Tom Wolf,8,31,8,2,2,0,3,12
Mike Stack,,3,0,0,0,0,4,12
Kathi Cozzone,,,0,0,0,0,5,12
John Fetterman,,,,0,0,0,6,12
Nina Ahmad,,,,,0,0,7,12
Ray Sosa,,,,,,0,8,12
Total,51,34,8,2,2,0,9,12
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,13
,Tom Wolf,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,2,13
Tom Wolf,8,22,8,2,0,0,3,13
Kathi Cozzone,,1,0,0,0,0,4,13
Mike Stack,,,3,0,0,0,5,13
John Fetterman,,,,2,0,0,6,13
Nina Ahmad,,,,,0,0,7,13
Ray Sosa,,,,,,0,8,13
Total,40,23,11,4,0,0,9,13
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,14
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,14
Tom Wolf,30,23,16,9,2,1,3,14
Mike Stack,,0,0,0,0,0,4,14
Kathi Cozzone,,,0,0,0,0,5,14
Nina Ahmad,,,,1,0,0,6,14
John Fetterman,,,,,2,0,7,14
Ray Sosa,,,,,,0,8,14
Total,81,23,16,10,4,1,9,14
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,15
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,15
Tom Wolf,9,6,4,1,1,1,3,15
Mike Stack,,0,0,0,0,0,4,15
Kathi Cozzone,,,1,0,0,0,5,15
John Fetterman,,,,1,0,0,6,15
Nina Ahmad,,,,,1,0,7,15
Ray Sosa,,,,,,1,8,15
Total,22,6,5,2,2,2,9,15
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,16
,Tom Wolf,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,2,16
Tom Wolf,3,6,6,3,0,0,3,16
Kathi Cozzone,,1,0,0,0,0,4,16
Mike Stack,,,1,0,0,0,5,16
John Fetterman,,,,0,0,0,6,16
Nina Ahmad,,,,,3,0,7,16
Ray Sosa,,,,,,0,8,16
Total,18,7,7,3,3,0,9,16
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,17
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,17
Tom Wolf,5,14,10,3,1,0,3,17
Mike Stack,,0,0,0,0,0,4,17
Kathi Cozzone,,,0,0,0,0,5,17
Nina Ahmad,,,,1,0,0,6,17
John Fetterman,,,,,2,0,7,17
Ray Sosa,,,,,,0,8,17
Total,33,14,10,4,3,0,9,17
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,18
,Tom Wolf,John Fetterman,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,18
