col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Governor - Democrat,Representative In Congress 5th District - Democrat,,,,,,,,,,,,,All
,Tom Wolf,Rich Lazer,Molly Sheehan,Lindy Li,Mary Gay Scanlon,Theresa M Wright,Ashley Lunkenheimer,Greg Vitali,Thaddeus Kirkland,Margo Davidson,Larry Arata,Dan Muroff,Shelly Chauncey,David Wertime,All
Tom Wolf,"127,286","3,938","1,463","1,269",875,900,698,368,254,216,84,12,8,0,All
Rich Lazer,,884,0,0,0,0,0,0,0,0,0,0,0,0,All
Molly Sheehan,,,102,0,0,0,0,0,0,0,0,0,0,0,All
Lindy Li,,,,186,0,0,0,0,0,0,0,0,0,0,All
Mary Gay Scanlon,,,,,96,0,0,0,0,0,0,0,0,0,All
Theresa M Wright,,,,,,66,0,0,0,0,0,0,0,0,All
Ashley Lunkenheimer,,,,,,,94,0,0,0,0,0,0,0,All
Greg Vitali,,,,,,,,113,0,0,0,0,0,0,All
Thaddeus Kirkland,,,,,,,,,46,0,0,0,0,0,All
Margo Davidson,,,,,,,,,,34,0,0,0,0,All
Larry Arata,,,,,,,,,,,45,0,0,0,All
Dan Muroff,,,,,,,,,,,,0,0,0,All
Shelly Chauncey,,,,,,,,,,,,,3,0,All
David Wertime,,,,,,,,,,,,,,1,All
Total,"137,371","4,822","1,565","1,455",971,966,792,481,300,250,129,12,11,1,All
