col_1,col_2,col_3,col_4,order,division
,Governor - Republican,,,1,All
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,All
Scott R Wagner,56,0,0,3,All
Paul Mango,,55,0,4,All
Laura Ellsworth,,,30,5,All
Total,56,55,30,6,All
,Governor - Republican,,,1,1
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,1
Scott R Wagner,2,0,0,3,1
Laura Ellsworth,,1,0,4,1
Paul Mango,,,0,5,1
Total,2,1,0,6,1
,Governor - Republican,,,1,2
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,2
Paul Mango,2,0,0,3,2
Scott R Wagner,,1,0,4,2
Laura Ellsworth,,,0,5,2
Total,2,1,0,6,2
,Governor - Republican,,,1,3
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,3
Laura Ellsworth,1,0,0,3,3
Paul Mango,,1,0,4,3
Scott R Wagner,,,1,5,3
Total,1,1,1,6,3
,Governor - Republican,,,1,4
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,4
Laura Ellsworth,1,0,0,3,4
Paul Mango,,1,0,4,4
Scott R Wagner,,,1,5,4
Total,1,1,1,6,4
,Governor - Republican,,,1,5
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,5
Paul Mango,5,0,0,3,5
Scott R Wagner,,5,0,4,5
Laura Ellsworth,,,1,5,5
Total,5,5,1,6,5
,Governor - Republican,,,1,6
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,6
Paul Mango,3,0,0,3,6
Scott R Wagner,,2,0,4,6
Laura Ellsworth,,,0,5,6
Total,3,2,0,6,6
,Governor - Republican,,,1,8
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,8
Scott R Wagner,2,0,0,3,8
Paul Mango,,1,0,4,8
Laura Ellsworth,,,0,5,8
Total,2,1,0,6,8
,Governor - Republican,,,1,9
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,9
Scott R Wagner,3,0,0,3,9
Paul Mango,,2,0,4,9
Laura Ellsworth,,,0,5,9
Total,3,2,0,6,9
,Governor - Republican,,,1,10
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,10
Laura Ellsworth,2,0,0,3,10
Paul Mango,,2,0,4,10
Scott R Wagner,,,0,5,10
Total,2,2,0,6,10
,Governor - Republican,,,1,11
,Laura Ellsworth,Scott R Wagner,Paul Mango,2,11
Laura Ellsworth,2,0,0,3,11
Scott R Wagner,,1,0,4,11
Paul Mango,,,0,5,11
Total,2,1,0,6,11
,Governor - Republican,,,1,12
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,12
Laura Ellsworth,1,0,0,3,12
Paul Mango,,1,0,4,12
Scott R Wagner,,,1,5,12
Total,1,1,1,6,12
,Governor - Republican,,,1,13
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,13
Scott R Wagner,3,0,0,3,13
Paul Mango,,2,0,4,13
Laura Ellsworth,,,1,5,13
Total,3,2,1,6,13
,Governor - Republican,,,1,14
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,14
Laura Ellsworth,3,0,0,3,14
Paul Mango,,3,0,4,14
Scott R Wagner,,,0,5,14
Total,3,3,0,6,14
,Governor - Republican,,,1,15
,Laura Ellsworth,Scott R Wagner,Paul Mango,2,15
Laura Ellsworth,2,0,0,3,15
Scott R Wagner,,2,0,4,15
Paul Mango,,,1,5,15
Total,2,2,1,6,15
,Governor - Republican,,,1,16
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,16
Laura Ellsworth,2,0,0,3,16
Paul Mango,,1,0,4,16
Scott R Wagner,,,1,5,16
Total,2,1,1,6,16
,Governor - Republican,,,1,17
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,17
Paul Mango,4,0,0,3,17
Scott R Wagner,,4,0,4,17
Laura Ellsworth,,,0,5,17
Total,4,4,0,6,17
,Governor - Republican,,,1,18
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,18
Scott R Wagner,5,0,0,3,18
Laura Ellsworth,,3,0,4,18
Paul Mango,,,1,5,18
Total,5,3,1,6,18
,Governor - Republican,,,1,19
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,19
Paul Mango,6,0,0,3,19
Scott R Wagner,,2,0,4,19
Laura Ellsworth,,,1,5,19
Total,6,2,1,6,19
,Governor - Republican,,,1,20
,Scott R Wagner,Paul Mango,Laura Ellsworth,2,20
Scott R Wagner,3,0,0,3,20
Paul Mango,,2,0,4,20
Laura Ellsworth,,,0,5,20
Total,3,2,0,6,20
,Governor - Republican,,,1,21
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,21
Paul Mango,3,0,0,3,21
Scott R Wagner,,3,0,4,21
Laura Ellsworth,,,0,5,21
Total,3,3,0,6,21
,Governor - Republican,,,1,22
,Laura Ellsworth,Paul Mango,Scott R Wagner,2,22
Laura Ellsworth,2,0,0,3,22
Paul Mango,,2,0,4,22
Scott R Wagner,,,2,5,22
Total,2,2,2,6,22
,Governor - Republican,,,1,23
,Laura Ellsworth,Scott R Wagner,Paul Mango,2,23
Laura Ellsworth,5,0,0,3,23
Scott R Wagner,,4,0,4,23
Paul Mango,,,1,5,23
Total,5,4,1,6,23
,Governor - Republican,,,1,24
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,24
Scott R Wagner,2,0,0,3,24
Laura Ellsworth,,1,0,4,24
Paul Mango,,,1,5,24
Total,2,1,1,6,24
,Governor - Republican,,,1,25
,Paul Mango,Scott R Wagner,Laura Ellsworth,2,25
Paul Mango,9,0,0,3,25
Scott R Wagner,,2,0,4,25
Laura Ellsworth,,,0,5,25
Total,9,2,0,6,25
,Governor - Republican,,,1,26
,Scott R Wagner,Laura Ellsworth,Paul Mango,2,26
Scott R Wagner,4,0,0,3,26
Laura Ellsworth,,1,0,4,26
Paul Mango,,,1,5,26
Total,4,1,1,6,26
