col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,order,division
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Micah Mahjoubian,Marylouise Isaacson,Mariel J K Martin,Tom Young,Andi Perez,Darrell L Clarke,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Joe Celentano,Judi Golding Baker,Jon Geeting,Noam Kugelmass,2,All
Meagan Ingerson,127,800,749,575,578,532,463,399,363,0,0,0,0,0,0,0,0,0,0,0,0,0,3,All
Erica Vanstone,,25,697,658,705,655,589,534,495,0,0,0,0,0,0,0,0,0,0,0,0,0,4,All
Mona Getzes Cohen,,,70,533,518,487,402,376,340,0,0,0,0,0,0,0,0,0,0,0,0,0,5,All
James Harrity,,,,68,503,475,493,467,411,0,0,0,0,0,0,0,0,0,0,0,0,0,6,All
Catherine Bartch,,,,,5,594,418,408,422,0,0,0,0,0,0,0,0,0,0,0,0,0,7,All
Marnie Aument Loughrey,,,,,,0,426,399,400,0,0,0,0,0,0,0,0,0,0,0,0,0,8,All
Frank T Brzozowski,,,,,,,15,431,361,0,0,0,0,0,0,0,0,0,0,0,0,0,9,All
Richard Lombardo,,,,,,,,5,361,0,0,0,0,0,0,0,0,0,0,0,0,0,10,All
Billy Cortes,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,All
Micah Mahjoubian,,,,,,,,,,1,65,63,66,62,55,54,25,18,13,10,11,14,12,All
Marylouise Isaacson,,,,,,,,,,,0,68,60,66,57,52,29,22,16,13,12,13,13,All
Mariel J K Martin,,,,,,,,,,,,0,62,63,58,56,23,20,13,11,8,8,14,All
Tom Young,,,,,,,,,,,,,1,58,51,52,22,13,17,6,12,10,15,All
Andi Perez,,,,,,,,,,,,,,0,55,52,26,20,15,12,14,16,16,All
Darrell L Clarke,,,,,,,,,,,,,,,2,57,18,11,7,9,8,5,17,All
Matthew D Myers,,,,,,,,,,,,,,,,0,13,9,6,6,7,4,18,All
Rhea Powell,,,,,,,,,,,,,,,,,2,23,19,15,15,16,19,All
Amanda Mcillmurray,,,,,,,,,,,,,,,,,,1,14,17,10,14,20,All
Joe Celentano,,,,,,,,,,,,,,,,,,,2,10,11,13,21,All
Judi Golding Baker,,,,,,,,,,,,,,,,,,,,0,7,9,22,All
Jon Geeting,,,,,,,,,,,,,,,,,,,,,1,9,23,All
Noam Kugelmass,,,,,,,,,,,,,,,,,,,,,,0,24,All
Total,"1,048","1,029",870,832,774,721,673,594,552,84,81,79,79,74,71,65,41,34,27,21,20,20,25,All
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,1
Meagan Ingerson,7,73,67,51,49,47,31,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Erica Vanstone,,2,65,53,51,47,31,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
