col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,All
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Kevin Bundy,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,Jacque Whaumbush,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,All
Kathryn S Huggins,21,447,459,385,291,287,279,244,146,106,113,92,84,334,146,181,55,4,3,All
Ken Washington,,15,426,399,254,249,253,239,107,97,91,93,57,296,117,120,39,4,4,All
Dewayne Drummond,,,10,379,255,254,246,233,117,99,100,79,67,303,121,109,46,6,5,All
Liam G Boyle,,,,0,215,207,209,199,75,60,63,53,34,251,77,98,30,2,6,All
Monica Maria Djerassi,,,,,2,243,243,102,120,58,53,70,66,184,100,25,32,2,7,All
Lisa Rhodes,,,,,,0,273,97,89,65,51,53,80,195,92,27,28,5,8,All
Linda Norris,,,,,,,0,84,87,70,42,55,67,188,86,29,32,4,9,All
Kevin Bundy,,,,,,,,2,76,83,86,60,47,119,70,101,27,3,10,All
Rebecca Poyourow,,,,,,,,,0,45,60,56,52,48,74,27,33,1,11,All
John Brady,,,,,,,,,,4,62,50,29,74,51,21,8,4,12,All
Nat Lownes,,,,,,,,,,,1,46,30,43,52,31,11,4,13,All
Joe Khan,,,,,,,,,,,,1,33,44,50,18,18,2,14,All
Jacque Whaumbush,,,,,,,,,,,,,0,33,49,18,12,1,15,All
Mike Stack,,,,,,,,,,,,,,65,0,0,0,0,16,All
Nina Ahmad,,,,,,,,,,,,,,,66,0,0,0,17,All
Kathi Cozzone,,,,,,,,,,,,,,,,44,0,0,18,All
John Fetterman,,,,,,,,,,,,,,,,,31,0,19,All
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,All
Total,762,618,617,479,356,353,350,341,187,169,149,140,116,523,294,284,111,12,21,All
