V1,Tom Wolf Governor - Democrat,Write In Governor - Democrat,division
,Tom Wolf Governor - Democrat,Write In,All
Tom Wolf,"1,344",0,All
Write In,,0,All
Total,"1,344",0,All
1,2,3,All
,Tom Wolf Governor - Democrat,Write In,1
Tom Wolf,46,0,1
Write In,,0,1
Total,46,0,1
1,2,3,1
,Tom Wolf Governor - Democrat,Write In,2
Tom Wolf,47,0,2
Write In,,0,2
Total,47,0,2
1,2,3,2
,Tom Wolf Governor - Democrat,Write In,3
Tom Wolf,44,0,3
Write In,,0,3
Total,44,0,3
1,2,3,3
,Tom Wolf Governor - Democrat,Write In,4
Tom Wolf,52,0,4
Write In,,0,4
Total,52,0,4
1,2,3,4
,Tom Wolf Governor - Democrat,Write In,5
Tom Wolf,39,0,5
Write In,,0,5
Total,39,0,5
1,2,3,5
,Tom Wolf Governor - Democrat,Write In,6
Tom Wolf,82,0,6
Write In,,0,6
Total,82,0,6
1,2,3,6
,Tom Wolf Governor - Democrat,Write In,7
Tom Wolf,47,0,7
Write In,,0,7
Total,47,0,7
1,2,3,7
,Tom Wolf Governor - Democrat,Write In,8
Tom Wolf,48,0,8
Write In,,0,8
Total,48,0,8
1,2,3,8
,Tom Wolf Governor - Democrat,Write In,9
Tom Wolf,31,0,9
Write In,,0,9
Total,31,0,9
1,2,3,9
,Tom Wolf Governor - Democrat,Write In,10
Tom Wolf,51,0,10
Write In,,0,10
Total,51,0,10
1,2,3,10
,Tom Wolf Governor - Democrat,Write In,11
Tom Wolf,49,0,11
Write In,,0,11
Total,49,0,11
1,2,3,11
,Tom Wolf Governor - Democrat,Write In,12
Tom Wolf,53,0,12
Write In,,0,12
Total,53,0,12
1,2,3,12
,Tom Wolf Governor - Democrat,Write In,13
Tom Wolf,44,0,13
Write In,,0,13
Total,44,0,13
1,2,3,13
,Tom Wolf Governor - Democrat,Write In,14
Tom Wolf,51,0,14
Write In,,0,14
Total,51,0,14
1,2,3,14
,Tom Wolf Governor - Democrat,Write In,15
Tom Wolf,45,0,15
Write In,,0,15
Total,45,0,15
1,2,3,15
,Tom Wolf Governor - Democrat,Write In,16
Tom Wolf,35,0,16
Write In,,0,16
Total,35,0,16
1,2,3,16
,Tom Wolf Governor - Democrat,Write In,17
Tom Wolf,67,0,17
Write In,,0,17
Total,67,0,17
1,2,3,17
,Tom Wolf Governor - Democrat,Write In,18
Tom Wolf,59,0,18
Write In,,0,18
Total,59,0,18
1,2,3,18
,Tom Wolf Governor - Democrat,Write In,19
Tom Wolf,37,0,19
Write In,,0,19
Total,37,0,19
1,2,3,19
,Tom Wolf Governor - Democrat,Write In,20
Tom Wolf,33,0,20
Write In,,0,20
Total,33,0,20
1,2,3,20
,Tom Wolf Governor - Democrat,Write In,21
Tom Wolf,66,0,21
Write In,,0,21
Total,66,0,21
1,2,3,21
,Tom Wolf Governor - Democrat,Write In,22
Tom Wolf,55,0,22
Write In,,0,22
Total,55,0,22
1,2,3,22
,Tom Wolf Governor - Democrat,Write In,23
Tom Wolf,50,0,23
Write In,,0,23
Total,50,0,23
1,2,3,23
,Tom Wolf Governor - Democrat,Write In,24
Tom Wolf,28,0,24
Write In,,0,24
Total,28,0,24
1,2,3,24
,Tom Wolf Governor - Democrat,Write In,25
Tom Wolf,34,0,25
Write In,,0,25
Total,34,0,25
1,2,3,25
,Tom Wolf Governor - Democrat,Write In,26
Tom Wolf,46,0,26
Write In,,0,26
Total,46,0,26
1,2,3,26
,Tom Wolf Governor - Democrat,Write In,27
Tom Wolf,53,0,27
Write In,,0,27
Total,53,0,27
1,2,3,27
,Tom Wolf Governor - Democrat,Write In,28
Tom Wolf,52,0,28
Write In,,0,28
Total,52,0,28
1,2,3,28
