col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,"2,551",3,All
Total,"2,551",4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,86,3,1
Total,86,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,87,3,2
Total,87,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,110,3,3
Total,110,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,161,3,4
Total,161,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,79,3,5
Total,79,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,83,3,6
Total,83,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,74,3,7
Total,74,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,99,3,8
Total,99,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,91,3,9
Total,91,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,102,3,10
Total,102,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,84,3,11
Total,84,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,113,3,12
Total,113,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,82,3,13
Total,82,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,118,3,14
Total,118,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,93,3,15
Total,93,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,60,3,16
Total,60,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,67,3,17
Total,67,4,17
,Governor - Democrat,1,18
,Tom Wolf,2,18
Tom Wolf,86,3,18
Total,86,4,18
,Governor - Democrat,1,19
,Tom Wolf,2,19
Tom Wolf,79,3,19
Total,79,4,19
,Governor - Democrat,1,20
,Tom Wolf,2,20
Tom Wolf,127,3,20
Total,127,4,20
,Governor - Democrat,1,21
,Tom Wolf,2,21
Tom Wolf,104,3,21
Total,104,4,21
,Governor - Democrat,1,22
,Tom Wolf,2,22
Tom Wolf,98,3,22
Total,98,4,22
,Governor - Democrat,1,23
,Tom Wolf,2,23
Tom Wolf,52,3,23
Total,52,4,23
,Governor - Democrat,1,24
,Tom Wolf,2,24
Tom Wolf,85,3,24
Total,85,4,24
,Governor - Democrat,1,25
,Tom Wolf,2,25
Tom Wolf,61,3,25
Total,61,4,25
,Governor - Democrat,1,26
,Tom Wolf,2,26
Tom Wolf,37,3,26
Total,37,4,26
,Governor - Democrat,1,27
,Tom Wolf,2,27
Tom Wolf,77,3,27
Total,77,4,27
,Governor - Democrat,1,28
,Tom Wolf,2,28
Tom Wolf,77,3,28
Total,77,4,28
,Governor - Democrat,1,29
,Tom Wolf,2,29
Tom Wolf,79,3,29
Total,79,4,29
