col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,order,division
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,All
,Scott R Wagner,Laura Ellsworth,Paul Mango,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,All
Scott R Wagner,2,0,0,8,5,12,1,3,All
Laura Ellsworth,,2,0,4,3,2,1,4,All
Paul Mango,,,0,4,7,1,0,5,All
Kathy Coder,,,,1,0,0,0,6,All
Diana Irey Vaughan,,,,,0,0,0,7,All
Jeff Bartos,,,,,,0,0,8,All
Peg Luksik,,,,,,,0,9,All
Total,28,12,12,17,15,15,2,10,All
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,1
,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,Laura Ellsworth,Paul Mango,Scott R Wagner,2,1
Diana Irey Vaughan,0,0,0,0,1,1,1,3,1
Kathy Coder,,0,0,0,1,1,0,4,1
Jeff Bartos,,,0,0,0,0,0,5,1
Peg Luksik,,,,0,0,0,0,6,1
Laura Ellsworth,,,,,1,0,0,7,1
Paul Mango,,,,,,0,0,8,1
Scott R Wagner,,,,,,,0,9,1
Total,3,2,0,0,3,2,1,10,1
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,2
,Scott R Wagner,Laura Ellsworth,Paul Mango,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,2,2
Scott R Wagner,0,0,0,3,1,0,0,3,2
Laura Ellsworth,,1,0,0,0,0,0,4,2
Paul Mango,,,0,0,0,0,0,5,2
Jeff Bartos,,,,0,0,0,0,6,2
Diana Irey Vaughan,,,,,0,0,0,7,2
Kathy Coder,,,,,,0,0,8,2
Peg Luksik,,,,,,,0,9,2
Total,4,1,0,3,1,0,0,10,2
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,3
,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,Paul Mango,Scott R Wagner,Laura Ellsworth,2,3
Diana Irey Vaughan,0,0,0,0,0,1,0,3,3
Kathy Coder,,0,0,0,1,0,0,4,3
Jeff Bartos,,,0,0,0,0,0,5,3
Peg Luksik,,,,0,0,0,0,6,3
Paul Mango,,,,,0,0,0,7,3
Scott R Wagner,,,,,,0,0,8,3
Laura Ellsworth,,,,,,,0,9,3
Total,1,1,0,0,1,1,0,10,3
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,5
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Paul Mango,Scott R Wagner,Laura Ellsworth,2,5
Diana Irey Vaughan,0,0,0,0,3,1,0,3,5
Jeff Bartos,,0,0,0,0,1,1,4,5
Kathy Coder,,,0,0,0,1,0,5,5
Peg Luksik,,,,0,0,0,0,6,5
Paul Mango,,,,,0,0,0,7,5
Scott R Wagner,,,,,,0,0,8,5
Laura Ellsworth,,,,,,,0,9,5
Total,4,2,1,0,3,3,1,10,5
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,6
,Scott R Wagner,Laura Ellsworth,Paul Mango,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2,6
Scott R Wagner,1,0,0,3,0,1,0,3,6
Laura Ellsworth,,0,0,1,0,0,0,4,6
Paul Mango,,,0,0,1,0,0,5,6
Kathy Coder,,,,0,0,0,0,6,6
Diana Irey Vaughan,,,,,0,0,0,7,6
Jeff Bartos,,,,,,0,0,8,6
Peg Luksik,,,,,,,0,9,6
Total,5,1,1,4,1,1,0,10,6
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,7
,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,Laura Ellsworth,Paul Mango,Scott R Wagner,2,7
Kathy Coder,1,0,0,0,0,0,0,3,7
Diana Irey Vaughan,,0,0,0,0,0,0,4,7
Jeff Bartos,,,0,0,0,0,0,5,7
Peg Luksik,,,,0,0,0,0,6,7
Laura Ellsworth,,,,,0,0,0,7,7
Paul Mango,,,,,,0,0,8,7
Scott R Wagner,,,,,,,0,9,7
Total,1,0,0,0,0,0,0,10,7
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,8
,Jeff Bartos,Diana Irey Vaughan,Peg Luksik,Kathy Coder,Laura Ellsworth,Paul Mango,Scott R Wagner,2,8
Jeff Bartos,0,0,0,0,0,1,1,3,8
Diana Irey Vaughan,,0,0,0,1,0,0,4,8
Peg Luksik,,,0,0,1,0,0,5,8
Kathy Coder,,,,0,0,0,0,6,8
Laura Ellsworth,,,,,0,0,0,7,8
Paul Mango,,,,,,0,0,8,8
Scott R Wagner,,,,,,,0,9,8
Total,2,1,1,0,2,1,1,10,8
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,9
,Scott R Wagner,Laura Ellsworth,Paul Mango,Diana Irey Vaughan,Kathy Coder,Jeff Bartos,Peg Luksik,2,9
Scott R Wagner,0,0,0,1,1,0,0,3,9
Laura Ellsworth,,0,0,0,0,0,0,4,9
Paul Mango,,,0,0,0,0,0,5,9
Diana Irey Vaughan,,,,0,0,0,0,6,9
Kathy Coder,,,,,0,0,0,7,9
Jeff Bartos,,,,,,0,0,8,9
Peg Luksik,,,,,,,0,9,9
Total,2,0,0,1,1,0,0,10,9
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,10
,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,Laura Ellsworth,Scott R Wagner,Paul Mango,2,10
Jeff Bartos,0,0,0,0,1,2,0,3,10
Diana Irey Vaughan,,0,0,0,1,0,0,4,10
Kathy Coder,,,0,0,0,0,1,5,10
Peg Luksik,,,,0,0,0,0,6,10
Laura Ellsworth,,,,,0,0,0,7,10
Scott R Wagner,,,,,,0,0,8,10
Paul Mango,,,,,,,0,9,10
Total,3,1,1,0,2,2,1,10,10
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,11
,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,Scott R Wagner,Laura Ellsworth,Paul Mango,2,11
Jeff Bartos,0,0,0,0,3,0,0,3,11
Kathy Coder,,0,0,0,0,1,0,4,11
Diana Irey Vaughan,,,0,0,0,0,0,5,11
Peg Luksik,,,,0,0,0,0,6,11
Scott R Wagner,,,,,0,0,0,7,11
Laura Ellsworth,,,,,,0,0,8,11
Paul Mango,,,,,,,0,9,11
Total,3,1,0,0,3,1,0,10,11
,Governor - Republican,,,Lieutenant Governor - Republican,,,,1,12
,Scott R Wagner,Laura Ellsworth,Paul Mango,Jeff Bartos,Peg Luksik,Diana Irey Vaughan,Kathy Coder,2,12
Scott R Wagner,0,0,0,1,1,0,0,3,12
Laura Ellsworth,,0,0,0,0,0,0,4,12
Paul Mango,,,0,0,0,0,0,5,12
Jeff Bartos,,,,0,0,0,0,6,12
Peg Luksik,,,,,0,0,0,7,12
Diana Irey Vaughan,,,,,,0,0,8,12
Kathy Coder,,,,,,,0,9,12
Total,2,0,0,1,1,0,0,10,12
,Lieutenant Governor - Republican,,,,Governor - Republican,,,1,13
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,Paul Mango,Laura Ellsworth,Scott R Wagner,2,13
