col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,All
Bob Casey Jr,312,"1,933",806,707,249,22,3,All
Mike Stack,,117,0,0,0,0,4,All
Nina Ahmad,,,58,0,0,0,5,All
Kathi Cozzone,,,,30,0,0,6,All
John Fetterman,,,,,19,0,7,All
Ray Sosa,,,,,,5,8,All
Total,"4,029","2,050",864,737,268,27,9,All
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Bob Casey Jr,5,24,9,6,1,0,3,1
Mike Stack,,1,0,0,0,0,4,1
Kathi Cozzone,,,1,0,0,0,5,1
Nina Ahmad,,,,1,0,0,6,1
John Fetterman,,,,,0,0,7,1
Ray Sosa,,,,,,0,8,1
Total,45,25,10,7,1,0,9,1
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,2
Bob Casey Jr,5,48,9,7,7,0,3,2
Mike Stack,,1,0,0,0,0,4,2
Kathi Cozzone,,,1,0,0,0,5,2
Nina Ahmad,,,,3,0,0,6,2
John Fetterman,,,,,0,0,7,2
Ray Sosa,,,,,,0,8,2
Total,76,49,10,10,7,0,9,2
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Bob Casey Jr,6,31,25,8,3,0,3,3
Mike Stack,,6,0,0,0,0,4,3
Kathi Cozzone,,,1,0,0,0,5,3
Nina Ahmad,,,,1,0,0,6,3
John Fetterman,,,,,0,0,7,3
Ray Sosa,,,,,,0,8,3
Total,73,37,26,9,3,0,9,3
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Bob Casey Jr,4,29,13,9,1,0,3,4
Mike Stack,,1,0,0,0,0,4,4
Kathi Cozzone,,,0,0,0,0,5,4
Nina Ahmad,,,,0,0,0,6,4
John Fetterman,,,,,1,0,7,4
Ray Sosa,,,,,,0,8,4
Total,56,30,13,9,2,0,9,4
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Bob Casey Jr,4,33,10,8,2,0,3,5
Mike Stack,,2,0,0,0,0,4,5
Kathi Cozzone,,,0,0,0,0,5,5
Nina Ahmad,,,,1,0,0,6,5
John Fetterman,,,,,0,0,7,5
Ray Sosa,,,,,,0,8,5
Total,57,35,10,9,2,0,9,5
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,6
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,6
Bob Casey Jr,7,42,19,18,3,1,3,6
Mike Stack,,3,0,0,0,0,4,6
Kathi Cozzone,,,1,0,0,0,5,6
Nina Ahmad,,,,1,0,0,6,6
John Fetterman,,,,,0,0,7,6
Ray Sosa,,,,,,0,8,6
Total,90,45,20,19,3,1,9,6
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,7
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,7
Bob Casey Jr,8,57,19,15,3,1,3,7
Mike Stack,,3,0,0,0,0,4,7
Kathi Cozzone,,,0,0,0,0,5,7
Nina Ahmad,,,,2,0,0,6,7
John Fetterman,,,,,0,0,7,7
Ray Sosa,,,,,,1,8,7
Total,103,60,19,17,3,2,9,7
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,8
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,8
Bob Casey Jr,9,69,23,18,3,0,3,8
Mike Stack,,2,0,0,0,0,4,8
Nina Ahmad,,,0,0,0,0,5,8
Kathi Cozzone,,,,0,0,0,6,8
John Fetterman,,,,,0,0,7,8
Ray Sosa,,,,,,0,8,8
Total,122,71,23,18,3,0,9,8
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,9
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,9
Bob Casey Jr,4,34,12,9,1,0,3,9
Mike Stack,,2,0,0,0,0,4,9
Kathi Cozzone,,,0,0,0,0,5,9
Nina Ahmad,,,,0,0,0,6,9
John Fetterman,,,,,0,0,7,9
Ray Sosa,,,,,,0,8,9
Total,60,36,12,9,1,0,9,9
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,10
,Bob Casey Jr,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,10
Bob Casey Jr,8,51,21,19,10,1,3,10
Mike Stack,,3,0,0,0,0,4,10
Nina Ahmad,,,3,0,0,0,5,10
Kathi Cozzone,,,,0,0,0,6,10
John Fetterman,,,,,2,0,7,10
Ray Sosa,,,,,,0,8,10
Total,110,54,24,19,12,1,9,10
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,11
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,11
Bob Casey Jr,9,38,30,12,7,0,3,11
Mike Stack,,0,0,0,0,0,4,11
Kathi Cozzone,,,0,0,0,0,5,11
Nina Ahmad,,,,0,0,0,6,11
John Fetterman,,,,,2,0,7,11
Ray Sosa,,,,,,0,8,11
Total,96,38,30,12,9,0,9,11
,United States Senator - Democrat,Lieutenant Governor - Democrat,,,,,1,12
,Bob Casey Jr,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,12
Bob Casey Jr,10,93,36,19,4,0,3,12
Mike Stack,,2,0,0,0,0,4,12
Kathi Cozzone,,,0,0,0,0,5,12
