col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,All
,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Robert Taylor,Dustin Morris,Brendan F Boyle,Michele Lawrence,All
Jaime Bouldin,27,873,849,731,734,702,660,657,657,617,574,All
David Rodriguez,,10,873,717,720,692,639,654,646,564,485,All
Humberto Perez,,,5,705,717,678,631,648,643,527,468,All
Barbara Carroll,,,,4,768,720,666,657,652,479,395,All
Sharon Vaughn,,,,,3,732,667,668,658,480,382,All
Latrice Y Bryant,,,,,,2,665,660,633,444,345,All
Jonathan M Gary,,,,,,,5,632,608,407,314,All
Robert Taylor,,,,,,,,0,618,396,305,All
Dustin Morris,,,,,,,,,0,380,309,All
Brendan F Boyle,,,,,,,,,,295,0,All
Michele Lawrence,,,,,,,,,,,116,All
Total,"1,248","1,090","1,030",908,885,809,742,717,703,"1,193",915,All
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1
,David Rodriguez,Humberto Perez,Jaime Bouldin,Robert Taylor,Barbara Carroll,Sharon Vaughn,Jonathan M Gary,Dustin Morris,Latrice Y Bryant,Michele Lawrence,Brendan F Boyle,1
David Rodriguez,1,18,17,15,15,15,13,13,13,18,11,1
Humberto Perez,,0,18,15,15,15,14,14,14,15,8,1
Jaime Bouldin,,,0,15,15,15,14,14,14,16,7,1
Robert Taylor,,,,0,16,16,14,14,14,10,7,1
Barbara Carroll,,,,,0,16,14,14,14,9,7,1
Sharon Vaughn,,,,,,0,14,14,14,9,7,1
Jonathan M Gary,,,,,,,1,14,14,8,6,1
Dustin Morris,,,,,,,,0,14,8,6,1
Latrice Y Bryant,,,,,,,,,0,8,6,1
Michele Lawrence,,,,,,,,,,2,0,1
Brendan F Boyle,,,,,,,,,,,6,1
Total,30,23,23,17,16,16,15,14,14,30,18,1
,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,2
,Jaime Bouldin,David Rodriguez,Barbara Carroll,Humberto Perez,Sharon Vaughn,Latrice Y Bryant,Jonathan M Gary,Dustin Morris,Robert Taylor,Brendan F Boyle,Michele Lawrence,2
Jaime Bouldin,2,37,31,34,31,28,25,26,25,24,28,2
David Rodriguez,,0,31,36,32,26,25,25,25,24,26,2
Barbara Carroll,,,1,29,35,30,27,27,26,16,22,2
Humberto Perez,,,,0,30,26,26,25,24,19,20,2
Sharon Vaughn,,,,,1,30,26,25,25,18,21,2
Latrice Y Bryant,,,,,,0,27,22,25,14,17,2
Jonathan M Gary,,,,,,,0,22,24,14,12,2
Dustin Morris,,,,,,,,0,23,11,15,2
Robert Taylor,,,,,,,,,0,12,14,2
Brendan F Boyle,,,,,,,,,,4,0,2
Michele Lawrence,,,,,,,,,,,5,2
Total,59,55,43,42,42,33,28,27,27,48,48,2
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,3
,Brendan F Boyle,Michele Lawrence,Jaime Bouldin,David Rodriguez,Humberto Perez,Barbara Carroll,Sharon Vaughn,Latrice Y Bryant,Robert Taylor,Dustin Morris,Jonathan M Gary,3
Brendan F Boyle,20,0,37,35,30,30,29,26,24,24,19,3
Michele Lawrence,,3,35,24,26,21,19,14,16,15,13,3
Jaime Bouldin,,,3,51,50,41,38,37,37,38,31,3
David Rodriguez,,,,1,52,41,39,38,40,39,28,3
Humberto Perez,,,,,0,42,39,37,39,39,28,3
Barbara Carroll,,,,,,0,42,39,38,37,29,3
Sharon Vaughn,,,,,,,1,36,35,37,28,3
Latrice Y Bryant,,,,,,,,0,36,35,27,3
Robert Taylor,,,,,,,,,0,36,28,3
Dustin Morris,,,,,,,,,,0,27,3
Jonathan M Gary,,,,,,,,,,,0,3
Total,78,45,76,61,57,52,50,41,41,40,32,3
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 3rd Senatorial District,,,,,,,,,4
