col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,All
,James Harrity,Mona Getzes Cohen,Richard Lombardo,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,All
James Harrity,9,282,361,351,281,293,297,278,266,361,194,All
Mona Getzes Cohen,,20,201,214,288,166,145,139,133,198,223,All
Richard Lombardo,,,7,368,206,301,319,286,273,295,132,All
Erica Vanstone,,,,1,219,311,310,276,277,272,139,All
Meagan Ingerson,,,,,9,171,143,134,136,191,188,All
Catherine Bartch,,,,,,0,245,237,262,232,113,All
Frank T Brzozowski,,,,,,,2,236,233,247,90,All
Billy Cortes,,,,,,,,0,225,215,94,All
Marnie Aument Loughrey,,,,,,,,,0,214,99,All
Brendan F Boyle,,,,,,,,,,56,0,All
Michele Lawrence,,,,,,,,,,,26,All
Total,588,458,457,431,402,363,357,326,324,545,358,All
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,1
,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,1
James Harrity,0,10,10,12,11,10,10,9,8,12,7,1
Meagan Ingerson,,1,10,6,5,6,3,2,3,6,8,1
Mona Getzes Cohen,,,2,7,6,7,4,2,3,6,7,1
Erica Vanstone,,,,0,10,10,9,7,8,7,3,1
Richard Lombardo,,,,,0,9,9,8,6,8,2,1
Billy Cortes,,,,,,0,7,6,7,7,3,1
Catherine Bartch,,,,,,,0,7,6,6,3,1
Frank T Brzozowski,,,,,,,,1,5,8,1,1
Marnie Aument Loughrey,,,,,,,,,0,5,2,1
Brendan F Boyle,,,,,,,,,,0,0,1
Michele Lawrence,,,,,,,,,,,1,1
Total,21,17,17,12,12,11,10,10,8,17,13,1
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,2
,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Meagan Ingerson,Marnie Aument Loughrey,Michele Lawrence,Brendan F Boyle,2
James Harrity,0,13,14,14,13,11,11,12,9,16,7,2
Mona Getzes Cohen,,0,10,9,8,6,8,11,5,13,5,2
Erica Vanstone,,,0,14,12,11,11,8,10,9,6,2
Richard Lombardo,,,,0,13,10,10,7,9,8,6,2
Catherine Bartch,,,,,0,9,10,7,8,9,4,2
Billy Cortes,,,,,,0,9,5,7,5,7,2
Frank T Brzozowski,,,,,,,0,4,9,6,6,2
Meagan Ingerson,,,,,,,,0,2,11,3,2
Marnie Aument Loughrey,,,,,,,,,0,5,3,2
Michele Lawrence,,,,,,,,,,0,0,2
Brendan F Boyle,,,,,,,,,,,0,2
Total,25,18,17,16,15,14,14,14,10,18,12,2
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,3
,Brendan F Boyle,Michele Lawrence,James Harrity,Mona Getzes Cohen,Richard Lombardo,Meagan Ingerson,Erica Vanstone,Frank T Brzozowski,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,3
Brendan F Boyle,0,0,14,10,12,12,11,10,8,7,5,3
Michele Lawrence,,0,2,6,4,2,2,3,3,3,2,3
James Harrity,,,0,8,12,9,11,10,9,7,4,3
Mona Getzes Cohen,,,,0,12,9,9,10,8,6,5,3
Richard Lombardo,,,,,0,10,13,13,11,10,7,3
Meagan Ingerson,,,,,,0,9,8,5,6,3,3
Erica Vanstone,,,,,,,0,11,8,8,6,3
Frank T Brzozowski,,,,,,,,0,9,9,6,3
Billy Cortes,,,,,,,,,0,6,5,3
Catherine Bartch,,,,,,,,,,0,5,3
Marnie Aument Loughrey,,,,,,,,,,,0,3
Total,18,8,16,16,16,14,13,13,11,10,7,3
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,4
,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Billy Cortes,Richard Lombardo,Erica Vanstone,Marnie Aument Loughrey,Frank T Brzozowski,Catherine Bartch,Brendan F Boyle,Michele Lawrence,4
James Harrity,0,13,13,11,11,10,10,8,6,14,10,4
Mona Getzes Cohen,,1,9,6,6,5,5,3,3,6,12,4
Meagan Ingerson,,,1,7,8,6,6,5,3,7,11,4
Billy Cortes,,,,0,10,10,8,8,4,8,5,4
Richard Lombardo,,,,,0,9,9,8,5,8,4,4
Erica Vanstone,,,,,,0,7,8,3,6,5,4
Marnie Aument Loughrey,,,,,,,0,6,5,7,4,4
Frank T Brzozowski,,,,,,,,0,4,7,2,4
Catherine Bartch,,,,,,,,,0,4,2,4
Brendan F Boyle,,,,,,,,,,1,0,4
Michele Lawrence,,,,,,,,,,,0,4
Total,25,20,19,13,12,11,11,9,6,22,16,4
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,5
,James Harrity,Meagan Ingerson,Erica Vanstone,Richard Lombardo,Mona Getzes Cohen,Frank T Brzozowski,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,5
James Harrity,1,9,10,9,9,7,6,6,4,8,4,5
Meagan Ingerson,,0,8,7,7,5,5,4,1,8,4,5
Erica Vanstone,,,0,10,8,7,7,5,3,9,3,5
Richard Lombardo,,,,0,6,8,6,6,4,8,4,5
Mona Getzes Cohen,,,,,1,4,3,4,1,5,4,5
Frank T Brzozowski,,,,,,1,4,5,3,5,2,5
Catherine Bartch,,,,,,,0,3,4,7,0,5
Billy Cortes,,,,,,,,0,3,4,2,5
Marnie Aument Loughrey,,,,,,,,,0,4,0,5
Brendan F Boyle,,,,,,,,,,0,0,5
Michele Lawrence,,,,,,,,,,,1,5
Total,15,14,13,13,11,9,8,6,4,13,8,5
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,6
,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Catherine Bartch,Erica Vanstone,Richard Lombardo,Marnie Aument Loughrey,Billy Cortes,Frank T Brzozowski,Michele Lawrence,Brendan F Boyle,6
James Harrity,0,16,15,15,14,16,11,12,5,13,14,6
Meagan Ingerson,,4,19,12,12,11,9,6,1,13,11,6
Mona Getzes Cohen,,,1,10,10,11,9,6,1,12,9,6
Catherine Bartch,,,,0,15,14,13,10,4,9,8,6
Erica Vanstone,,,,,0,14,11,9,5,7,9,6
Richard Lombardo,,,,,,0,12,11,5,8,8,6
Marnie Aument Loughrey,,,,,,,0,7,4,8,6,6
Billy Cortes,,,,,,,,0,5,5,7,6
Frank T Brzozowski,,,,,,,,,0,2,2,6
Michele Lawrence,,,,,,,,,,3,0,6
Brendan F Boyle,,,,,,,,,,,3,6
Total,28,28,23,18,17,17,15,14,5,24,21,6
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,7
,James Harrity,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Michele Lawrence,Brendan F Boyle,7
James Harrity,0,17,14,15,16,16,12,13,12,12,16,7
Erica Vanstone,,0,13,13,19,18,14,15,13,13,8,7
Meagan Ingerson,,,1,15,11,10,7,7,6,13,8,7
Mona Getzes Cohen,,,,0,11,10,6,7,6,17,4,7
Richard Lombardo,,,,,0,16,11,15,11,10,10,7
Billy Cortes,,,,,,0,12,13,12,10,10,7
Catherine Bartch,,,,,,,0,8,13,9,6,7
Frank T Brzozowski,,,,,,,,0,8,6,8,7
Marnie Aument Loughrey,,,,,,,,,0,8,6,7
Michele Lawrence,,,,,,,,,,3,0,7
Brendan F Boyle,,,,,,,,,,,1,7
Total,28,22,22,21,21,20,15,15,14,24,21,7
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,8
,Brendan F Boyle,Michele Lawrence,James Harrity,Richard Lombardo,Erica Vanstone,Mona Getzes Cohen,Catherine Bartch,Meagan Ingerson,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,8
Brendan F Boyle,3,0,26,18,17,8,13,7,14,12,13,8
Michele Lawrence,,0,5,3,2,8,4,10,2,3,0,8
James Harrity,,,1,19,18,10,16,10,15,13,12,8
Richard Lombardo,,,,0,18,7,15,7,15,14,12,8
Erica Vanstone,,,,,0,7,15,7,15,13,13,8
Mona Getzes Cohen,,,,,,2,7,13,4,5,3,8
Catherine Bartch,,,,,,,0,8,12,14,11,8
Meagan Ingerson,,,,,,,,0,4,6,3,8
Frank T Brzozowski,,,,,,,,,0,11,12,8
Marnie Aument Loughrey,,,,,,,,,,0,10,8
Billy Cortes,,,,,,,,,,,0,8
Total,32,13,32,21,19,18,17,17,16,15,13,8
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,9
,James Harrity,Mona Getzes Cohen,Catherine Bartch,Erica Vanstone,Richard Lombardo,Meagan Ingerson,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,Brendan F Boyle,Michele Lawrence,9
James Harrity,1,9,12,12,12,10,10,11,9,11,6,9
Mona Getzes Cohen,,3,8,8,7,10,7,4,5,6,6,9
Catherine Bartch,,,0,12,12,9,11,9,11,9,5,9
Erica Vanstone,,,,0,12,8,10,9,10,9,5,9
Richard Lombardo,,,,,0,9,10,10,9,8,6,9
Meagan Ingerson,,,,,,1,7,5,6,5,7,9
Billy Cortes,,,,,,,0,8,9,8,4,9
Frank T Brzozowski,,,,,,,,0,7,7,5,9
Marnie Aument Loughrey,,,,,,,,,0,7,4,9
Brendan F Boyle,,,,,,,,,,2,0,9
Michele Lawrence,,,,,,,,,,,1,9
Total,18,15,14,14,14,13,12,12,11,13,11,9
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,10
,Erica Vanstone,Mona Getzes Cohen,Billy Cortes,James Harrity,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Meagan Ingerson,Brendan F Boyle,Michele Lawrence,10
Erica Vanstone,0,10,19,15,17,17,17,15,11,13,9,10
Mona Getzes Cohen,,2,8,7,6,6,5,4,12,5,12,10
Billy Cortes,,,0,14,17,15,15,13,9,13,5,10
James Harrity,,,,0,14,11,13,10,7,13,5,10
Richard Lombardo,,,,,0,13,14,12,7,13,5,10
Catherine Bartch,,,,,,0,13,13,7,10,6,10
Frank T Brzozowski,,,,,,,0,14,6,12,5,10
Marnie Aument Loughrey,,,,,,,,0,5,10,5,10
Meagan Ingerson,,,,,,,,,0,4,10,10
Brendan F Boyle,,,,,,,,,,4,0,10
Michele Lawrence,,,,,,,,,,,0,10
Total,23,20,19,19,19,17,17,15,15,20,19,10
,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,Representative In Congress 2nd District - Democrat,,11
,James Harrity,Richard Lombardo,Erica Vanstone,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,Mona Getzes Cohen,Meagan Ingerson,Brendan F Boyle,Michele Lawrence,11
James Harrity,0,28,27,24,23,23,19,15,16,27,14,11
Richard Lombardo,,0,32,29,27,27,23,11,13,25,6,11
Erica Vanstone,,,0,28,26,26,21,11,13,25,6,11
Catherine Bartch,,,,0,23,24,21,10,11,24,5,11
Frank T Brzozowski,,,,,0,21,21,5,6,22,3,11
Marnie Aument Loughrey,,,,,,0,21,8,8,21,5,11
Billy Cortes,,,,,,,0,2,4,19,2,11
Mona Getzes Cohen,,,,,,,,1,16,8,13,11
Meagan Ingerson,,,,,,,,,0,9,10,11
Brendan F Boyle,,,,,,,,,,1,0,11
